frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.75, 0.00, 0.00, 1.00, 0.44, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.13, 0.62, 0.10, 0.32, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.00, 0.00, 0.72, 0.00, 0.04, 1.21, 0.39, 0.00, 0.14, 0.00, 0.00, 0.00, 0.01, 0.04, 0.58, 0.13, 2.14, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.067,  0.98,  1, 0.00, 0.11, 0.84, 0.00, 0.08, 1.33, 0.36, 0.00, 0.22, 0.00, 0.00, 0.00, 0.01, 0.00, 0.54, 0.12, 3.06, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.100,  0.98,  1, 0.00, 0.13, 1.00, 0.00, 0.11, 1.34, 0.38, 0.03, 0.32, 0.00, 0.00, 0.06, 0.00, 0.00, 0.51, 0.17, 2.93, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.133,  0.98,  1, 0.03, 0.14, 1.19, 0.00, 0.07, 1.19, 0.36, 0.04, 0.34, 0.00, 0.00, 0.08, 0.05, 0.00, 0.48, 0.13, 2.12, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.167,  0.98,  1, 0.03, 0.06, 1.17, 0.00, 0.03, 0.97, 0.31, 0.04, 0.39, 0.00, 0.00, 0.09, 0.10, 0.00, 0.43, 0.19, 1.41, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.200,  0.98,  1, 0.03, 0.06, 1.10, 0.00, 0.00, 0.85, 0.17, 0.01, 0.41, 0.00, 0.00, 0.03, 0.14, 0.00, 0.35, 0.20, 0.82, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.233,  0.98,  1, 0.04, 0.05, 0.91, 0.00, 0.00, 0.71, 0.08, 0.00, 0.45, 0.00, 0.00, 0.02, 0.13, 0.00, 0.24, 0.17, 0.55, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.06, 0.07, 0.82, 0.00, 0.00, 0.59, 0.02, 0.00, 0.44, 0.00, 0.00, 0.00, 0.12, 0.00, 0.17, 0.10, 0.33, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.06, 0.10, 0.75, 0.00, 0.00, 0.45, 0.01, 0.00, 0.43, 0.00, 0.00, 0.00, 0.08, 0.00, 0.15, 0.04, 0.31, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.03, 0.13, 0.71, 0.00, 0.00, 0.40, 0.01, 0.00, 0.40, 0.00, 0.00, 0.00, 0.05, 0.00, 0.15, 0.03, 0.35, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.03, 0.10, 0.74, 0.00, 0.00, 0.52, 0.00, 0.00, 0.44, 0.00, 0.00, 0.00, 0.02, 0.00, 0.13, 0.04, 0.41, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.04, 0.05, 0.78, 0.00, 0.00, 0.55, 0.05, 0.00, 0.43, 0.00, 0.00, 0.00, 0.02, 0.00, 0.14, 0.04, 0.28, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.433,  0.98,  1, 0.04, 0.01, 0.79, 0.00, 0.00, 0.50, 0.08, 0.00, 0.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.14, 0.03, 0.26, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.467,  0.98,  1, 0.03, 0.00, 0.76, 0.05, 0.00, 0.39, 0.08, 0.00, 0.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.22, 0.06, 0.11, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.500,  0.98,  1, 0.01, 0.00, 0.77, 0.05, 0.00, 0.33, 0.06, 0.00, 0.36, 0.00, 0.00, 0.00, 0.01, 0.00, 0.26, 0.07, 0.15, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.533,  0.98,  1, 0.01, 0.00, 0.83, 0.05, 0.00, 0.24, 0.07, 0.00, 0.36, 0.00, 0.02, 0.00, 0.01, 0.00, 0.32, 0.07, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1, 0.00, 0.01, 0.85, 0.00, 0.00, 0.14, 0.12, 0.00, 0.37, 0.00, 0.04, 0.00, 0.01, 0.00, 0.33, 0.06, 0.07, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.600,  0.98,  1, 0.00, 0.01, 0.84, 0.06, 0.00, 0.17, 0.08, 0.00, 0.41, 0.00, 0.04, 0.00, 0.00, 0.00, 0.33, 0.10, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.633,  0.98,  1, 0.00, 0.01, 0.82, 0.06, 0.00, 0.22, 0.06, 0.00, 0.42, 0.00, 0.01, 0.00, 0.00, 0.00, 0.29, 0.15, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.667,  0.98,  1, 0.00, 0.00, 0.76, 0.06, 0.00, 0.31, 0.06, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.29, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.700,  0.98,  1, 0.00, 0.00, 0.67, 0.11, 0.00, 0.27, 0.08, 0.00, 0.37, 0.00, 0.00, 0.00, 0.02, 0.00, 0.29, 0.18, 0.07, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.733,  0.98,  1, 0.00, 0.00, 0.57, 0.35, 0.00, 0.29, 0.08, 0.00, 0.36, 0.00, 0.00, 0.00, 0.05, 0.00, 0.29, 0.20, 0.10, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.767,  0.98,  1, 0.00, 0.00, 0.61, 0.52, 0.00, 0.37, 0.09, 0.00, 0.39, 0.00, 0.00, 0.01, 0.05, 0.00, 0.30, 0.28, 0.10, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.800,  0.98,  1, 0.00, 0.00, 0.69, 0.57, 0.00, 0.46, 0.11, 0.00, 0.41, 0.00, 0.00, 0.01, 0.03, 0.00, 0.31, 0.33, 0.03, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.833,  0.98,  1, 0.00, 0.00, 0.78, 0.44, 0.00, 0.55, 0.16, 0.00, 0.43, 0.00, 0.00, 0.02, 0.00, 0.00, 0.38, 0.33, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.867,  0.98,  1, 0.00, 0.04, 0.69, 0.28, 0.00, 0.55, 0.19, 0.04, 0.48, 0.00, 0.00, 0.03, 0.00, 0.00, 0.36, 0.28, 0.19, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  0.900,  0.98,  1, 0.09, 0.04, 0.72, 0.12, 0.12, 0.89, 0.29, 0.04, 0.54, 0.00, 0.00, 0.03, 0.00, 0.00, 0.36, 0.22, 1.03, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
29,  0,  0.933,  0.98,  1, 0.21, 0.04, 0.72, 0.00, 0.26, 1.13, 0.28, 0.07, 0.61, 0.00, 0.00, 0.02, 0.01, 0.00, 0.33, 0.15, 1.94, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
30,  0,  0.967,  0.98,  1, 0.21, 0.03, 0.89, 0.00, 0.37, 1.62, 0.29, 0.03, 0.60, 0.00, 0.00, 0.05, 0.06, 0.00, 0.33, 0.12, 2.66, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
31,  0,  1.000,  0.98,  1, 0.14, 0.04, 0.98, 0.00, 0.30, 1.50, 0.24, 0.04, 0.60, 0.00, 0.00, 0.05, 0.06, 0.00, 0.28, 0.08, 2.28, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
32,  0,  1.033,  0.98,  1, 0.02, 0.04, 1.01, 0.00, 0.17, 1.53, 0.25, 0.04, 0.56, 0.00, 0.00, 0.10, 0.05, 0.00, 0.24, 0.08, 1.63, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
33,  0,  1.067,  0.98,  1, 0.02, 0.06, 0.91, 0.00, 0.06, 1.09, 0.16, 0.04, 0.55, 0.00, 0.00, 0.10, 0.00, 0.00, 0.24, 0.02, 0.99, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
34,  0,  1.100,  0.98,  1, 0.07, 0.10, 0.92, 0.00, 0.02, 1.05, 0.07, 0.06, 0.57, 0.00, 0.00, 0.14, 0.00, 0.00, 0.34, 0.01, 0.75, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
35,  0,  1.133,  0.98,  1, 0.07, 0.10, 0.90, 0.00, 0.00, 0.92, 0.00, 0.04, 0.59, 0.00, 0.01, 0.09, 0.00, 0.00, 0.38, 0.01, 0.61, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
