AU,男性1均值,男性2均值,男性均值,女性均值,性别差(男-女),男性内部差|M1-M2|
AU01_r,0.0822,0.0678,0.0750,0.0618,0.0132,0.0145
AU02_r,0.0405,0.0410,0.0407,0.0356,0.0051,0.0005
AU04_r,1.2227,1.1216,1.1721,0.8231,0.3491,0.1011
AU05_r,0.0614,0.0239,0.0426,0.0276,0.0150,0.0375
AU06_r,0.0180,0.7849,0.4015,0.0000,0.4015,0.7669
AU07_r,0.7657,1.9470,1.3563,0.0182,1.3381,1.1813
AU09_r,0.0287,0.0219,0.0253,0.0197,0.0057,0.0068
AU10_r,0.1511,0.2098,0.1805,0.3647,-0.1842,0.0587
AU12_r,0.6028,0.3141,0.4584,0.1817,0.2767,0.2887
AU14_r,0.0029,0.0000,0.0014,0.0000,0.0014,0.0029
AU15_r,0.0613,0.0627,0.0620,0.0461,0.0159,0.0014
AU17_r,0.1421,0.2261,0.1841,0.1276,0.0565,0.0840
AU20_r,0.0430,0.0426,0.0428,0.0336,0.0092,0.0003
AU23_r,0.0317,0.0597,0.0457,0.0462,-0.0005,0.0280
AU25_r,0.1081,0.1827,0.1454,0.0765,0.0689,0.0746
AU26_r,0.1155,0.1418,0.1286,0.1056,0.0231,0.0264
AU45_r,0.2714,0.1895,0.2304,0.1734,0.0570,0.0819
