AU,男性1均值,男性2均值,男性均值,女性均值,性别差(男-女),男性内部差|M1-M2|
AU01_r,0.1663,0.1363,0.1513,0.0780,0.0733,0.0299
AU02_r,0.0570,0.0530,0.0550,0.0405,0.0145,0.0040
AU04_r,1.5610,1.2037,1.3823,1.0695,0.3128,0.3573
AU05_r,0.0711,0.0329,0.0520,0.0374,0.0146,0.0382
AU06_r,0.1532,0.6259,0.3895,0.0001,0.3894,0.4727
AU07_r,1.4933,1.7927,1.6430,0.0358,1.6072,0.2994
AU09_r,0.0420,0.0424,0.0422,0.0283,0.0139,0.0004
AU10_r,0.5322,0.2542,0.3932,0.5557,-0.1625,0.2780
AU12_r,0.6908,0.2493,0.4701,0.1877,0.2823,0.4415
AU14_r,0.0062,0.0007,0.0035,0.0000,0.0035,0.0055
AU15_r,0.0718,0.1110,0.0914,0.0635,0.0279,0.0392
AU17_r,0.1678,0.4821,0.3249,0.1751,0.1498,0.3143
AU20_r,0.0560,0.0705,0.0633,0.0443,0.0190,0.0145
AU23_r,0.1008,0.1024,0.1016,0.0657,0.0359,0.0016
AU25_r,0.2031,0.4475,0.3253,0.1120,0.2133,0.2444
AU26_r,0.2634,0.2629,0.2632,0.1915,0.0717,0.0006
AU45_r,0.3662,0.2007,0.2835,0.1965,0.0869,0.1655
