frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
1,0,0.0,0.98,1,0.0,0.0,0.9,0.0,2.01,1.28,0.0,2.2,1.89,1.28,0.0,0.0,0.0,0.0,0.24,0.35,1.59,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,中性
2,0,0.017,0.98,1,0.0,0.0,0.88,0.0,2.12,1.6,0.13,2.27,1.85,1.48,0.0,0.0,0.04,0.0,0.22,0.3,1.37,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,中性
3,0,0.033,0.98,1,0.0,0.0,0.93,0.0,2.19,1.67,0.13,2.36,1.83,1.57,0.0,0.0,0.05,0.0,0.25,0.31,1.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,中性
4,0,0.05,0.98,1,0.0,0.0,1.02,0.0,2.19,1.47,0.1,2.37,1.78,1.58,0.0,0.0,0.04,0.0,0.2,0.31,0.68,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,中性
5,0,0.067,0.98,1,0.0,0.0,0.97,0.0,2.15,1.46,0.0,2.33,1.79,1.68,0.0,0.0,0.06,0.0,0.14,0.29,0.64,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,中性
6,0,0.083,0.98,1,0.0,0.0,0.95,0.02,2.1,1.35,0.0,2.28,1.79,1.69,0.0,0.0,0.05,0.0,0.05,0.21,0.48,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,中性
7,0,0.1,0.98,1,0.0,0.0,0.92,0.04,2.05,1.28,0.01,2.24,1.78,1.74,0.0,0.0,0.01,0.0,0.12,0.23,0.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,中性
8,0,0.117,0.98,1,0.0,0.0,0.93,0.16,2.05,1.42,0.01,2.22,1.75,1.61,0.0,0.0,0.05,0.0,0.23,0.25,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,中性
9,0,0.133,0.98,1,0.0,0.0,0.89,0.29,2.03,1.57,0.01,2.22,1.75,1.53,0.0,0.0,0.1,0.0,0.28,0.4,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
10,0,0.15,0.98,1,0.0,0.0,0.88,0.34,2.04,1.5,0.0,2.22,1.74,1.47,0.0,0.0,0.11,0.01,0.23,0.45,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
11,0,0.167,0.98,1,0.0,0.0,0.89,0.33,2.01,1.32,0.0,2.24,1.74,1.51,0.0,0.0,0.06,0.01,0.21,0.46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
12,0,0.183,0.98,1,0.0,0.0,0.86,0.22,1.98,1.12,0.0,2.19,1.78,1.63,0.0,0.0,0.01,0.01,0.26,0.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
13,0,0.2,0.98,1,0.0,0.0,0.78,0.22,1.91,1.02,0.0,2.18,1.8,1.63,0.0,0.0,0.0,0.01,0.25,0.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
14,0,0.217,0.98,1,0.0,0.0,0.7,0.22,1.86,0.83,0.0,2.17,1.82,1.69,0.0,0.0,0.09,0.01,0.23,0.4,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
15,0,0.233,0.98,1,0.0,0.0,0.72,0.26,1.83,0.81,0.0,2.15,1.75,1.73,0.07,0.0,0.17,0.01,0.1,0.37,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
16,0,0.25,0.98,1,0.0,0.0,0.73,0.18,1.88,0.89,0.0,2.22,1.73,1.75,0.07,0.0,0.21,0.0,0.07,0.4,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
17,0,0.267,0.98,1,0.0,0.0,0.81,0.08,1.93,0.92,0.0,2.23,1.71,1.73,0.07,0.0,0.12,0.0,0.01,0.44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
18,0,0.283,0.98,1,0.0,0.0,0.8,0.03,1.98,0.89,0.0,2.3,1.76,1.68,0.0,0.0,0.04,0.0,0.01,0.41,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
