frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
1,0,0.0,0.98,1,0.0,0.0,1.52,0.0,0.33,1.12,0.38,1.33,0.34,0.0,0.19,1.19,0.0,0.0,0.82,0.68,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,悲伤
2,0,0.017,0.98,1,0.0,0.0,1.43,0.0,0.24,1.03,0.23,1.2,0.38,0.0,0.21,1.45,0.0,0.02,0.51,0.46,0.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
3,0,0.033,0.98,1,0.0,0.0,1.37,0.0,0.2,0.91,0.14,1.16,0.45,0.18,0.18,1.47,0.0,0.02,0.29,0.26,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
4,0,0.05,0.98,1,0.0,0.0,1.42,0.0,0.22,0.79,0.2,1.23,0.44,0.36,0.1,1.44,0.0,0.0,0.21,0.21,0.36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
5,0,0.067,0.98,1,0.0,0.0,1.51,0.0,0.22,0.62,0.09,1.32,0.42,0.5,0.08,1.41,0.0,0.0,0.2,0.24,0.31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
6,0,0.083,0.98,1,0.0,0.0,1.63,0.0,0.29,0.59,0.12,1.27,0.36,0.4,0.05,1.47,0.0,0.0,0.22,0.29,0.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
7,0,0.1,0.98,1,0.0,0.0,1.69,0.0,0.36,0.71,0.08,1.2,0.37,0.3,0.0,1.44,0.0,0.0,0.17,0.27,0.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
8,0,0.117,0.98,1,0.0,0.0,1.69,0.0,0.37,0.82,0.11,1.15,0.38,0.26,0.01,1.51,0.0,0.0,0.16,0.22,0.37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
9,0,0.133,0.98,1,0.0,0.0,1.63,0.0,0.35,0.85,0.1,1.21,0.4,0.27,0.01,1.55,0.0,0.0,0.13,0.17,0.28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
10,0,0.15,0.98,1,0.0,0.0,1.58,0.0,0.38,0.87,0.14,1.29,0.4,0.29,0.01,1.59,0.0,0.0,0.12,0.11,0.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
