frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
1,0,0.0,0.98,1,0.0,0.0,0.83,0.0,2.32,3.3,0.08,1.93,1.82,1.47,0.73,0.0,0.33,0.0,2.25,0.0,0.82,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
2,0,0.033,0.98,1,0.0,0.0,0.89,0.0,2.33,3.52,0.09,2.06,1.84,1.67,0.64,0.0,0.14,0.0,2.21,0.0,0.64,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
3,0,0.067,0.98,1,0.0,0.0,0.99,0.0,2.35,3.67,0.08,2.15,1.84,1.7,0.61,0.0,0.08,0.0,2.18,0.0,0.48,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
4,0,0.1,0.98,1,0.0,0.0,1.1,0.0,2.42,3.53,0.06,2.17,1.8,1.63,0.56,0.0,0.08,0.0,2.19,0.0,0.49,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
5,0,0.133,0.98,1,0.0,0.0,1.21,0.0,2.45,3.48,0.08,2.17,1.77,1.51,0.57,0.0,0.08,0.0,2.12,0.0,0.41,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
6,0,0.167,0.98,1,0.0,0.0,1.27,0.0,2.49,3.43,0.11,2.18,1.73,1.46,0.55,0.0,0.09,0.0,2.05,0.0,0.4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
7,0,0.2,0.98,1,0.0,0.0,1.27,0.0,2.49,3.4,0.08,2.17,1.73,1.43,0.53,0.0,0.1,0.0,2.06,0.0,0.31,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
8,0,0.233,0.98,1,0.0,0.0,1.24,0.0,2.44,3.36,0.06,2.17,1.72,1.39,0.59,0.0,0.12,0.0,2.12,0.0,0.24,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
9,0,0.267,0.98,1,0.0,0.0,1.19,0.0,2.38,3.22,0.01,2.21,1.7,1.39,0.57,0.0,0.1,0.0,2.15,0.0,0.21,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
10,0,0.3,0.98,1,0.0,0.0,1.17,0.0,2.31,3.27,0.01,2.33,1.69,1.4,0.56,0.0,0.09,0.0,2.15,0.0,0.16,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,悲伤
