frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
1,0,0.0,0.93,1,0.18,0.0,0.0,0.0,1.24,1.37,0.0,0.46,0.54,0.3,0.0,0.0,0.0,0.0,1.04,0.79,0.03,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,中性
2,0,0.033,0.93,1,0.06,0.0,0.0,0.0,1.21,1.59,0.08,0.52,0.51,0.5,0.0,0.02,0.0,0.0,0.77,0.7,0.01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
3,0,0.067,0.93,1,0.0,0.0,0.05,0.0,1.26,1.68,0.11,0.53,0.53,0.69,0.0,0.07,0.0,0.0,0.6,0.64,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
4,0,0.1,0.93,1,0.08,0.0,0.07,0.0,1.3,1.78,0.11,0.59,0.55,0.85,0.0,0.23,0.0,0.0,0.47,0.53,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
5,0,0.133,0.93,1,0.08,0.0,0.11,0.0,1.35,1.9,0.12,0.56,0.62,1.01,0.0,0.34,0.0,0.0,0.44,0.41,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
6,0,0.167,0.93,1,0.08,0.0,0.08,0.0,1.36,2.05,0.16,0.57,0.66,1.04,0.0,0.48,0.0,0.0,0.41,0.26,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
7,0,0.2,0.93,1,0.0,0.0,0.1,0.0,1.36,1.95,0.14,0.51,0.67,1.14,0.0,0.53,0.0,0.0,0.36,0.19,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
8,0,0.233,0.93,1,0.02,0.0,0.11,0.01,1.32,1.82,0.07,0.49,0.68,1.19,0.0,0.68,0.02,0.0,0.29,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
9,0,0.267,0.93,1,0.02,0.0,0.11,0.01,1.23,1.57,0.01,0.45,0.68,1.27,0.0,0.75,0.02,0.0,0.23,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
10,0,0.3,0.93,1,0.02,0.0,0.09,0.08,1.2,1.59,0.0,0.45,0.69,1.19,0.0,0.71,0.02,0.0,0.25,0.16,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
