frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
1,0,0.0,0.98,1,0.54,0.0,0.59,0.0,1.17,1.35,0.0,0.6,0.71,0.22,0.81,2.32,0.0,0.0,0.0,0.12,0.07,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
2,0,0.033,0.98,1,0.43,0.0,0.45,0.0,1.26,1.39,0.0,0.54,0.71,0.32,0.85,2.11,0.0,0.0,0.0,0.1,0.23,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
3,0,0.067,0.98,1,0.29,0.0,0.38,0.0,1.33,1.37,0.0,0.46,0.75,0.42,0.83,1.93,0.0,0.0,0.0,0.08,0.36,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
4,0,0.1,0.98,1,0.29,0.0,0.36,0.0,1.38,1.4,0.0,0.39,0.85,0.57,0.84,1.79,0.0,0.0,0.0,0.02,0.33,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
5,0,0.133,0.98,1,0.34,0.0,0.4,0.0,1.38,1.42,0.01,0.41,0.95,0.68,0.8,1.96,0.0,0.0,0.0,0.02,0.26,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
6,0,0.167,0.98,1,0.39,0.0,0.47,0.0,1.42,1.66,0.02,0.47,0.97,0.74,0.8,2.04,0.0,0.0,0.0,0.06,0.28,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
7,0,0.2,0.98,1,0.31,0.0,0.51,0.0,1.48,1.61,0.07,0.53,0.97,0.74,0.9,2.06,0.0,0.0,0.0,0.06,0.36,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
8,0,0.233,0.98,1,0.24,0.0,0.5,0.0,1.54,1.65,0.05,0.62,0.99,0.79,0.84,2.0,0.0,0.0,0.0,0.06,0.47,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
9,0,0.267,0.98,1,0.23,0.0,0.44,0.0,1.56,1.48,0.05,0.66,1.03,0.79,0.9,1.99,0.0,0.0,0.0,0.0,0.48,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
10,0,0.3,0.98,1,0.43,0.15,0.39,0.0,1.53,1.13,0.0,0.64,1.02,0.83,0.78,1.87,0.0,0.0,0.0,0.0,1.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
11,0,0.333,0.98,1,0.5,0.43,0.24,0.0,1.36,0.61,0.0,0.64,0.96,0.67,0.7,1.78,0.04,0.0,0.0,0.01,1.8,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
12,0,0.367,0.98,1,0.7,0.64,0.12,0.0,1.26,0.31,0.0,0.65,0.96,0.44,0.72,1.66,0.04,0.0,0.0,0.01,2.55,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
13,0,0.4,0.93,1,0.67,0.52,0.05,0.0,1.22,0.6,0.0,0.69,0.9,0.26,0.77,1.88,0.04,0.0,0.0,0.01,2.23,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
14,0,0.433,0.93,1,0.75,0.29,0.06,0.0,1.31,1.03,0.02,0.63,0.89,0.22,0.78,1.86,0.02,0.0,0.0,0.04,1.88,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
15,0,0.467,0.93,1,0.66,0.08,0.05,0.0,1.24,1.19,0.08,0.5,0.84,0.3,0.69,1.87,0.02,0.0,0.0,0.05,1.13,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
16,0,0.5,0.98,1,0.54,0.06,0.04,0.0,1.12,1.11,0.1,0.33,0.84,0.29,0.65,1.65,0.02,0.0,0.0,0.08,0.71,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
17,0,0.533,0.98,1,0.29,0.0,0.03,0.0,0.97,1.03,0.13,0.36,0.82,0.36,0.46,1.55,0.0,0.0,0.0,0.39,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,积极
18,0,0.567,0.93,1,0.11,0.0,0.03,0.0,0.89,0.96,0.12,0.36,0.75,0.45,0.23,1.55,0.0,0.0,0.0,0.69,0.22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
19,0,0.6,0.93,1,0.0,0.0,0.0,0.0,0.92,1.12,0.19,0.56,0.65,0.58,0.17,1.6,0.0,0.0,0.0,1.2,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
20,0,0.633,0.98,1,0.0,0.0,0.17,0.0,0.99,1.42,0.29,0.52,0.52,0.55,0.32,1.8,0.0,0.0,0.0,1.22,0.02,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
21,0,0.667,0.98,1,0.0,0.0,0.26,0.0,1.08,1.55,0.51,0.67,0.43,0.49,0.44,1.79,0.0,0.0,0.0,1.32,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
22,0,0.7,0.98,1,0.0,0.0,0.36,0.0,1.1,1.65,0.7,0.71,0.39,0.45,0.61,1.66,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
23,0,0.733,0.98,1,0.0,0.0,0.27,0.0,1.09,1.49,0.78,0.82,0.41,0.53,0.65,1.57,0.0,0.0,0.0,1.26,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
24,0,0.767,0.98,1,0.0,0.0,0.32,0.0,1.03,1.54,0.7,0.87,0.48,0.55,0.83,1.48,0.0,0.0,0.0,1.33,0.01,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
25,0,0.8,0.98,1,0.0,0.0,0.34,0.0,0.97,1.57,0.66,0.91,0.55,0.55,0.89,1.56,0.0,0.0,0.0,1.33,0.04,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,积极
26,0,0.833,0.98,1,0.0,0.0,0.36,0.0,0.93,1.66,0.62,0.93,0.58,0.48,0.98,1.6,0.0,0.0,0.0,1.42,0.16,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,积极
27,0,0.867,0.98,1,0.0,0.0,0.26,0.0,0.97,1.72,0.61,0.97,0.57,0.44,1.0,1.69,0.0,0.0,0.0,1.48,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,积极
28,0,0.9,0.98,1,0.0,0.0,0.27,0.0,1.03,1.56,0.63,0.98,0.54,0.37,0.82,1.55,0.0,0.0,0.01,1.46,0.23,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,积极
29,0,0.933,0.98,1,0.0,0.0,0.16,0.0,1.04,1.33,0.63,0.96,0.51,0.38,0.74,1.42,0.0,0.0,0.07,1.38,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,积极
