frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.21,0.93,0.0,0.52,0.21,0.03,0.26,0.4,0.0,0.0,1.4,0.24,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
2,0,0.017,0.98,1,0.08,0.02,0.0,0.0,0.22,0.48,0.0,0.55,0.11,0.04,0.09,0.49,0.0,0.06,1.04,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
3,0,0.033,0.98,1,0.15,0.02,0.0,0.0,0.25,0.37,0.0,0.54,0.07,0.03,0.02,0.48,0.0,0.06,0.88,0.16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
4,0,0.05,0.98,1,0.19,0.02,0.0,0.0,0.2,0.5,0.0,0.5,0.11,0.0,0.02,0.37,0.0,0.03,0.91,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
5,0,0.067,0.98,1,0.16,0.0,0.0,0.0,0.25,0.48,0.0,0.43,0.09,0.0,0.02,0.3,0.0,0.0,0.95,0.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
6,0,0.083,0.98,1,0.14,0.0,0.0,0.0,0.23,0.42,0.0,0.47,0.09,0.0,0.0,0.23,0.0,0.03,0.96,0.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
7,0,0.1,0.98,1,0.12,0.0,0.0,0.0,0.22,0.32,0.0,0.49,0.08,0.0,0.0,0.25,0.0,0.04,0.97,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
8,0,0.117,0.98,1,0.14,0.0,0.0,0.0,0.19,0.34,0.0,0.58,0.08,0.0,0.0,0.3,0.0,0.04,1.02,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
9,0,0.133,0.98,1,0.21,0.0,0.0,0.0,0.2,0.36,0.0,0.6,0.08,0.0,0.0,0.33,0.0,0.01,0.97,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
10,0,0.15,0.98,1,0.23,0.0,0.0,0.0,0.22,0.52,0.0,0.67,0.09,0.0,0.0,0.28,0.0,0.03,0.93,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
