frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
1,0,0.0,0.98,1,0.0,0.09,0.0,0.0,0.29,0.46,0.11,0.53,0.06,0.12,0.0,0.0,0.0,0.0,0.89,0.38,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
2,0,0.033,0.98,1,0.14,0.15,0.0,0.0,0.37,0.57,0.11,0.45,0.04,0.04,0.0,0.11,0.0,0.0,0.83,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
3,0,0.067,0.98,1,0.24,0.15,0.0,0.03,0.43,0.57,0.08,0.45,0.06,0.0,0.0,0.18,0.0,0.0,0.86,0.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
4,0,0.1,0.98,1,0.16,0.08,0.0,0.07,0.4,0.45,0.05,0.43,0.1,0.0,0.0,0.31,0.0,0.0,0.96,0.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
5,0,0.133,0.98,1,0.2,0.13,0.0,0.07,0.34,0.43,0.0,0.49,0.12,0.0,0.0,0.39,0.0,0.0,0.95,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
6,0,0.167,0.98,1,0.18,0.16,0.0,0.07,0.25,0.54,0.0,0.4,0.12,0.0,0.0,0.42,0.0,0.03,0.86,0.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
7,0,0.2,0.98,1,0.27,0.23,0.0,0.06,0.26,0.6,0.0,0.42,0.11,0.0,0.0,0.36,0.0,0.04,0.81,0.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
8,0,0.233,0.98,1,0.34,0.28,0.0,0.06,0.21,0.58,0.0,0.39,0.1,0.0,0.05,0.24,0.0,0.04,0.83,0.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
9,0,0.267,0.98,1,0.35,0.28,0.0,0.03,0.18,0.57,0.0,0.37,0.07,0.0,0.05,0.22,0.0,0.01,0.96,0.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
10,0,0.3,0.98,1,0.45,0.3,0.0,0.0,0.18,0.58,0.0,0.35,0.04,0.0,0.05,0.27,0.0,0.0,0.94,0.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,积极
