AU,mean,std,min,max,cv
AU10_r,0.6787070594156012,0.6667728994082959,0.008096418732782369,1.7549256198347107,0.9824163314028571
AU14_r,0.802344630922971,0.7233399729936318,0.044046563192904654,1.8896308539944906,0.9015327642456374
AU12_r,0.3494498509749245,0.2894947390897816,0.029002217294900226,0.7718770764119602,0.8284299972717829
AU07_r,1.3878948932347839,1.1134382802587004,0.23528824833702885,3.0331790633608815,0.8022497133508403
AU04_r,0.6553881873017064,0.508226252361228,0.21277716186252774,1.4869421487603307,0.7754583652989571
AU06_r,0.9365063809452376,0.5642047415865257,0.3742793791574279,1.6270192837465565,0.602456911203382
AU26_r,0.40340863678553185,0.17670192145945676,0.25526053215077604,0.6954263565891473,0.43802215755087703
AU01_r,0.12917508286673707,0.05380642621134399,0.07353719008264463,0.21014950166112956,0.4165387396488312
AU23_r,0.12052017659114292,0.04630583534612393,0.07510192837465567,0.19535437430786268,0.38421645782360203
AU17_r,0.4409324409798421,0.15775712072932468,0.21491460055096417,0.6601771871539314,0.35778070758131586
AU25_r,0.3871324926341298,0.13756360374925422,0.17133608815426998,0.5497782705099777,0.35533985487305114
AU15_r,0.11190852587056115,0.028656844726398647,0.0654214876033058,0.14279623477297895,0.2560738290802307
AU02_r,0.07380154485161447,0.01636697907136062,0.046049586776859504,0.08805647840531564,0.22177014186177402
AU20_r,0.0981943626789512,0.02119189581953426,0.06263303769401331,0.11673829201101928,0.21581580898713776
AU05_r,0.03869155830204275,0.004908330228615191,0.03353168044077135,0.04406976744186046,0.1268579102009456
AU09_r,0.05306904374609217,0.006308927734387629,0.04369179600886918,0.06047933884297521,0.11888150396250917
AU45_r,0.19274682174895524,0.009706536832697553,0.1823030303030303,0.20864894795127353,0.05035899811276741
