,control_mean,patient_mean,control_std,patient_std,cohens_d,mean_diff,abs_d
AU20_r,0.051693652586657375,0.08301824744013644,0.007556306333459982,0.02232682010603024,-1.8794264597006238,0.03132459485347907,1.8794264597006238
AU09_r,0.035508546237724266,0.04744851930332735,0.006653313069182368,0.008037039207558938,-1.618389436017274,0.011939973065603085,1.618389436017274
AU05_r,0.05720202609023112,0.04029578300053764,0.016373668654642827,0.010130500963918324,1.241757271977355,-0.016906243089693476,1.241757271977355
AU17_r,0.17675180202917554,0.5232848642223865,0.039871062747529495,0.4071131970804644,-1.1980409328341595,0.346533062193211,1.1980409328341595
AU25_r,0.14772522243338915,0.358993728618856,0.049437367232762944,0.2703136513679678,-1.087269967447952,0.21126850618546683,1.087269967447952
AU10_r,0.4495563254523851,0.15813505188140695,0.2668891283948427,0.2738578351416885,1.0777576081791302,-0.29142127357097813,1.0777576081791302
AU45_r,0.28916452226534944,0.21059352935775313,0.06986326844473136,0.09223407019408028,0.9603275489584525,-0.07857099290759631,0.9603275489584525
AU04_r,1.4259050650169316,0.8339062357128842,0.17913947736567884,1.1441742334926304,0.7229111511324923,-0.5919988293040473,0.7229111511324923
AU12_r,0.8271573568881024,0.4909383882530125,0.3155149807181576,0.6001528335112135,0.7012684656932032,-0.33621896863508993,0.7012684656932032
AU23_r,0.060472681195605865,0.08145771990520824,0.035930677043657946,0.024776223891083377,-0.6799728172930097,0.020985038709602374,0.6799728172930097
AU26_r,0.18346433176184304,0.2260384038159975,0.07471040167741339,0.05092240155665756,-0.6659219718458009,0.04257407205415445,0.6659219718458009
AU06_r,0.1487150131983875,0.7123272339120769,0.12850304951660907,1.2004759408516095,-0.6601884902657393,0.5636122207136893,0.6601884902657393
AU15_r,0.07185870790765396,0.09143325836660725,0.01059832485863989,0.04251223528042684,-0.6318293096328228,0.019574550458953288,0.6318293096328228
AU02_r,0.05213005519212275,0.05659513608292425,0.010126247036245118,0.0020614424221325803,-0.611052005386666,0.004465080890801498,0.611052005386666
AU01_r,0.11608992767161737,0.13579309502025336,0.044324588165102305,0.05736082673498219,-0.3843858828285971,0.01970316734863599,0.3843858828285971
AU14_r,0.09016953721048043,0.1848622209789875,0.14829187968454022,0.3163148641033073,-0.38332787768267723,0.09469268376850706,0.38332787768267723
AU07_r,1.20282391572782,1.1020884006471643,0.38535796978071074,0.9497514800255803,0.1389932343792753,-0.1007355150806557,0.1389932343792753
