frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.03,0.17,0.98,0.0,0.0,0.0,0.1,0.46,0.06,0.0,0.0,0.08,0.06,0.0,0.0,0.21,0.22
2,0.033,0.98,0.12,0.23,1.03,0.0,0.0,0.0,0.08,0.49,0.13,0.0,0.12,0.21,0.02,0.13,0.04,0.3,0.09
3,0.067,0.98,0.19,0.19,1.0,0.0,0.0,0.0,0.08,0.49,0.15,0.0,0.13,0.27,0.0,0.15,0.06,0.37,0.09
4,0.1,0.98,0.23,0.17,0.99,0.0,0.0,0.0,0.08,0.48,0.08,0.0,0.05,0.27,0.0,0.04,0.06,0.36,0.27
5,0.133,0.98,0.13,0.1,0.99,0.0,0.0,0.0,0.06,0.48,0.1,0.0,0.07,0.22,0.0,0.08,0.12,0.37,0.25
6,0.167,0.98,0.05,0.08,1.04,0.04,0.0,0.02,0.06,0.5,0.1,0.0,0.09,0.2,0.0,0.19,0.11,0.37,0.18
7,0.2,0.98,0.05,0.11,1.0,0.04,0.0,0.02,0.02,0.47,0.11,0.0,0.12,0.18,0.01,0.21,0.11,0.28,0.12
8,0.233,0.98,0.09,0.14,1.0,0.04,0.0,0.02,0.02,0.43,0.1,0.0,0.05,0.23,0.01,0.15,0.01,0.19,0.26
9,0.267,0.98,0.09,0.14,0.94,0.0,0.0,0.0,0.0,0.45,0.13,0.0,0.04,0.22,0.01,0.09,0.04,0.14,0.26
10,0.3,0.98,0.11,0.08,0.98,0.0,0.0,0.0,0.0,0.42,0.14,0.0,0.03,0.28,0.08,0.09,0.07,0.11,0.19
11,0.333,0.98,0.06,0.0,0.96,0.0,0.0,0.0,0.04,0.48,0.19,0.0,0.06,0.27,0.08,0.16,0.11,0.25,0.05
12,0.367,0.98,0.15,0.08,0.97,0.0,0.0,0.0,0.04,0.44,0.15,0.0,0.04,0.29,0.08,0.11,0.13,0.25,0.05
13,0.4,0.98,0.09,0.08,0.97,0.0,0.0,0.0,0.04,0.51,0.2,0.0,0.04,0.28,0.0,0.16,0.09,0.39,0.0
14,0.433,0.98,0.15,0.09,0.97,0.0,0.0,0.0,0.0,0.42,0.18,0.0,0.02,0.29,0.0,0.13,0.09,0.3,0.0
15,0.467,0.98,0.07,0.01,1.01,0.0,0.0,0.0,0.0,0.48,0.22,0.0,0.07,0.3,0.0,0.18,0.06,0.34,0.03
16,0.5,0.98,0.1,0.01,1.03,0.01,0.0,0.0,0.0,0.51,0.19,0.0,0.06,0.32,0.0,0.15,0.05,0.27,0.03
17,0.533,0.98,0.03,0.0,1.01,0.01,0.0,0.0,0.03,0.54,0.2,0.0,0.09,0.37,0.0,0.21,0.06,0.36,0.03
18,0.567,0.98,0.07,0.0,0.98,0.01,0.0,0.0,0.03,0.52,0.15,0.0,0.03,0.37,0.0,0.16,0.06,0.27,0.0
19,0.6,0.98,0.03,0.0,0.93,0.0,0.0,0.0,0.05,0.44,0.13,0.0,0.05,0.35,0.0,0.12,0.06,0.28,0.0
20,0.633,0.98,0.03,0.0,0.88,0.03,0.0,0.0,0.02,0.52,0.18,0.0,0.02,0.27,0.0,0.1,0.05,0.19,0.0
21,0.667,0.98,0.05,0.0,0.9,0.05,0.0,0.0,0.02,0.5,0.2,0.0,0.02,0.3,0.0,0.07,0.09,0.18,0.0
22,0.7,0.98,0.08,0.0,0.92,0.05,0.0,0.0,0.02,0.51,0.23,0.0,0.0,0.29,0.0,0.13,0.14,0.15,0.0
23,0.733,0.98,0.1,0.0,0.97,0.03,0.0,0.0,0.02,0.43,0.17,0.0,0.0,0.34,0.0,0.1,0.14,0.15,0.0
24,0.767,0.98,0.05,0.07,0.94,0.0,0.0,0.0,0.02,0.44,0.2,0.0,0.03,0.28,0.0,0.18,0.13,0.2,0.0
25,0.8,0.98,0.1,0.16,0.94,0.04,0.0,0.0,0.0,0.5,0.2,0.0,0.03,0.29,0.0,0.14,0.11,0.2,0.0
26,0.833,0.98,0.12,0.16,1.01,0.13,0.0,0.0,0.01,0.51,0.24,0.0,0.04,0.28,0.0,0.21,0.1,0.21,0.0
27,0.867,0.98,0.19,0.11,1.0,0.13,0.0,0.0,0.01,0.51,0.19,0.0,0.01,0.31,0.0,0.16,0.11,0.2,0.0
28,0.9,0.98,0.15,0.08,0.98,0.08,0.0,0.0,0.03,0.44,0.15,0.0,0.05,0.37,0.0,0.14,0.08,0.24,0.0
29,0.933,0.98,0.13,0.2,0.97,0.06,0.0,0.0,0.02,0.46,0.16,0.0,0.04,0.34,0.0,0.14,0.11,0.29,0.0
30,0.967,0.98,0.12,0.18,1.02,0.06,0.0,0.0,0.09,0.45,0.18,0.0,0.04,0.38,0.0,0.1,0.09,0.3,0.39
31,1.0,0.98,0.42,0.2,1.24,0.06,0.0,0.14,0.11,0.49,0.21,0.0,0.0,0.41,0.0,0.14,0.14,0.4,1.22
32,1.033,0.98,0.62,0.09,1.38,0.0,0.0,0.3,0.13,0.49,0.14,0.0,0.0,0.44,0.0,0.05,0.12,0.4,1.98
33,1.067,0.98,0.69,0.09,1.44,0.0,0.0,0.41,0.11,0.52,0.15,0.0,0.03,0.48,0.0,0.05,0.12,0.42,2.06
34,1.1,0.98,0.37,0.01,1.25,0.0,0.0,0.27,0.07,0.56,0.17,0.0,0.04,0.4,0.0,0.03,0.13,0.37,1.23
35,1.133,0.98,0.23,0.0,1.04,0.0,0.0,0.11,0.05,0.56,0.19,0.0,0.07,0.46,0.0,0.03,0.14,0.3,0.53
36,1.167,0.98,0.1,0.0,0.9,0.0,0.0,0.0,0.01,0.55,0.21,0.0,0.12,0.4,0.0,0.11,0.19,0.3,0.06
37,1.2,0.98,0.15,0.0,0.88,0.0,0.0,0.0,0.02,0.52,0.2,0.0,0.11,0.42,0.0,0.12,0.17,0.22,0.06
38,1.233,0.98,0.08,0.0,0.85,0.0,0.0,0.0,0.02,0.55,0.24,0.0,0.12,0.37,0.0,0.23,0.21,0.29,0.0
39,1.267,0.98,0.08,0.0,0.91,0.0,0.0,0.0,0.01,0.59,0.22,0.0,0.05,0.39,0.0,0.17,0.18,0.22,0.0
40,1.3,0.98,0.02,0.0,0.93,0.0,0.0,0.0,0.0,0.59,0.22,0.0,0.08,0.39,0.0,0.24,0.21,0.33,0.0
41,1.333,0.98,0.04,0.0,0.98,0.05,0.0,0.0,0.0,0.57,0.2,0.0,0.04,0.43,0.02,0.17,0.13,0.19,0.0
42,1.367,0.98,0.03,0.0,0.93,0.05,0.0,0.0,0.02,0.55,0.2,0.0,0.03,0.36,0.02,0.25,0.14,0.25,0.0
43,1.4,0.98,0.09,0.06,0.95,0.15,0.0,0.0,0.02,0.54,0.2,0.0,0.02,0.35,0.03,0.17,0.09,0.11,0.0
44,1.433,0.98,0.08,0.06,0.96,0.17,0.0,0.0,0.03,0.54,0.17,0.0,0.05,0.31,0.02,0.24,0.12,0.24,0.0
45,1.467,0.98,0.1,0.06,1.02,0.17,0.0,0.0,0.01,0.49,0.15,0.0,0.05,0.4,0.02,0.2,0.07,0.2,0.0
46,1.5,0.98,0.05,0.0,0.98,0.07,0.0,0.0,0.01,0.47,0.16,0.0,0.06,0.35,0.01,0.26,0.12,0.28,0.0
47,1.533,0.98,0.04,0.0,0.98,0.04,0.0,0.0,0.0,0.46,0.17,0.0,0.02,0.37,0.0,0.17,0.09,0.16,0.0
48,1.567,0.98,0.04,0.0,0.93,0.14,0.0,0.0,0.0,0.51,0.19,0.0,0.04,0.27,0.0,0.2,0.15,0.15,0.0
49,1.6,0.98,0.11,0.05,0.95,0.22,0.0,0.0,0.0,0.58,0.19,0.0,0.11,0.3,0.0,0.15,0.13,0.07,0.0
50,1.633,0.98,0.14,0.07,0.92,0.21,0.0,0.0,0.0,0.6,0.18,0.0,0.11,0.25,0.0,0.23,0.19,0.2,0.0
51,1.667,0.98,0.16,0.07,0.98,0.11,0.0,0.0,0.0,0.62,0.17,0.0,0.14,0.28,0.0,0.16,0.14,0.15,0.0
52,1.7,0.98,0.09,0.02,0.94,0.08,0.0,0.0,0.0,0.6,0.2,0.0,0.08,0.26,0.0,0.21,0.15,0.27,0.0
53,1.733,0.98,0.07,0.0,0.95,0.06,0.0,0.0,0.0,0.59,0.19,0.0,0.11,0.27,0.0,0.11,0.09,0.14,0.0
54,1.767,0.98,0.01,0.0,0.94,0.08,0.0,0.0,0.0,0.51,0.2,0.0,0.11,0.31,0.0,0.12,0.13,0.14,0.0
55,1.8,0.98,0.03,0.0,0.91,0.04,0.0,0.0,0.0,0.51,0.21,0.0,0.11,0.31,0.0,0.08,0.09,0.12,0.0
56,1.833,0.98,0.08,0.0,0.86,0.12,0.0,0.09,0.0,0.44,0.23,0.0,0.09,0.38,0.0,0.12,0.08,0.12,0.0
57,1.867,0.98,0.08,0.0,0.8,0.1,0.0,0.09,0.0,0.51,0.27,0.0,0.05,0.29,0.0,0.16,0.06,0.23,0.0
58,1.9,0.98,0.1,0.1,0.82,0.1,0.0,0.09,0.0,0.52,0.27,0.0,0.07,0.3,0.0,0.15,0.1,0.17,0.0
59,1.933,0.98,0.05,0.1,0.78,0.0,0.0,0.0,0.03,0.52,0.27,0.0,0.07,0.27,0.0,0.12,0.18,0.3,0.0
60,1.967,0.98,0.07,0.1,0.74,0.02,0.0,0.0,0.03,0.58,0.27,0.0,0.1,0.34,0.0,0.12,0.22,0.33,0.0
61,2.0,0.98,0.04,0.0,0.69,0.02,0.0,0.0,0.03,0.54,0.23,0.0,0.11,0.33,0.0,0.11,0.21,0.39,0.0
62,2.033,0.98,0.05,0.0,0.71,0.09,0.0,0.0,0.0,0.6,0.27,0.0,0.12,0.26,0.0,0.19,0.17,0.37,0.0
