frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,1.29,0.0,0.0,0.69,0.6,0.0,0.06,0.0,0.09,0.0,0.12,0.73,0.04,0.02,0.0
2,0.033,0.98,0.0,0.0,1.34,0.0,0.0,0.67,0.28,0.01,0.23,0.0,0.03,0.0,0.04,0.42,0.05,0.01,0.08
3,0.067,0.98,0.0,0.0,1.43,0.0,0.0,0.63,0.08,0.02,0.36,0.0,0.0,0.0,0.0,0.18,0.04,0.01,0.08
4,0.1,0.98,0.01,0.13,1.51,0.0,0.0,0.57,0.0,0.04,0.46,0.0,0.0,0.0,0.07,0.07,0.0,0.06,0.14
5,0.133,0.98,0.12,0.2,1.52,0.0,0.0,0.58,0.0,0.03,0.46,0.0,0.04,0.03,0.1,0.01,0.0,0.14,0.06
6,0.167,0.98,0.39,0.43,1.54,0.0,0.0,0.58,0.0,0.01,0.48,0.0,0.04,0.11,0.15,0.01,0.03,0.17,0.11
7,0.2,0.98,0.58,0.45,1.56,0.0,0.0,0.67,0.0,0.01,0.47,0.0,0.04,0.24,0.1,0.0,0.04,0.12,0.05
8,0.233,0.98,0.65,0.47,1.61,0.0,0.0,0.73,0.0,0.01,0.47,0.0,0.02,0.31,0.08,0.0,0.03,0.04,0.05
9,0.267,0.98,0.53,0.32,1.57,0.0,0.0,0.76,0.0,0.01,0.44,0.0,0.02,0.31,0.04,0.0,0.03,0.03,0.0
10,0.3,0.98,0.51,0.33,1.65,0.0,0.0,0.78,0.0,0.03,0.42,0.0,0.04,0.29,0.03,0.0,0.03,0.03,0.11
11,0.333,0.98,0.46,0.39,1.67,0.0,0.0,0.9,0.0,0.03,0.39,0.0,0.02,0.28,0.02,0.0,0.03,0.05,0.18
12,0.367,0.98,0.53,0.4,1.72,0.0,0.0,0.76,0.0,0.03,0.4,0.0,0.07,0.28,0.01,0.0,0.01,0.02,0.24
13,0.4,0.98,0.47,0.36,1.67,0.06,0.0,0.64,0.0,0.01,0.39,0.0,0.11,0.2,0.0,0.0,0.01,0.02,0.26
14,0.433,0.98,0.46,0.34,1.6,0.08,0.0,0.3,0.0,0.01,0.38,0.0,0.15,0.18,0.0,0.0,0.05,0.0,0.33
15,0.467,0.98,0.36,0.38,1.52,0.2,0.0,0.29,0.0,0.01,0.36,0.0,0.1,0.21,0.0,0.0,0.06,0.0,0.4
16,0.5,0.98,0.27,0.39,1.35,0.21,0.0,0.41,0.0,0.01,0.43,0.0,0.17,0.17,0.05,0.05,0.07,0.09,0.27
17,0.533,0.98,0.32,0.38,1.39,0.25,0.0,0.58,0.0,0.01,0.49,0.0,0.18,0.1,0.07,0.05,0.02,0.09,0.14
18,0.567,0.98,0.38,0.45,1.38,0.13,0.0,0.82,0.0,0.01,0.54,0.0,0.27,0.03,0.1,0.06,0.01,0.09,0.0
19,0.6,0.98,0.51,0.51,1.48,0.15,0.0,0.81,0.0,0.01,0.5,0.0,0.23,0.08,0.08,0.01,0.0,0.01,0.08
20,0.633,0.98,0.45,0.54,1.5,0.19,0.0,0.82,0.0,0.0,0.46,0.0,0.27,0.11,0.08,0.02,0.04,0.04,0.08
21,0.667,0.98,0.34,0.44,1.5,0.37,0.0,0.8,0.0,0.0,0.42,0.0,0.18,0.1,0.08,0.01,0.04,0.04,0.08
22,0.7,0.98,0.28,0.43,1.51,0.37,0.0,0.75,0.0,0.0,0.43,0.0,0.09,0.06,0.12,0.01,0.11,0.03,0.05
23,0.733,0.98,0.29,0.36,1.52,0.44,0.0,0.82,0.0,0.01,0.46,0.0,0.0,0.05,0.1,0.0,0.08,0.08,0.04
24,0.767,0.98,0.41,0.31,1.63,0.39,0.0,0.87,0.0,0.02,0.52,0.0,0.03,0.07,0.07,0.0,0.08,0.08,0.04
25,0.8,0.98,0.53,0.31,1.62,0.34,0.0,1.02,0.0,0.02,0.49,0.0,0.1,0.16,0.04,0.0,0.01,0.1,0.0
26,0.833,0.98,0.51,0.33,1.6,0.18,0.0,0.83,0.0,0.01,0.44,0.0,0.15,0.22,0.04,0.0,0.0,0.01,0.0
27,0.867,0.98,0.52,0.48,1.58,0.06,0.0,0.76,0.0,0.0,0.41,0.0,0.15,0.29,0.04,0.0,0.0,0.01,0.11
28,0.9,0.98,0.42,0.36,1.65,0.1,0.0,0.79,0.0,0.0,0.45,0.0,0.13,0.3,0.0,0.0,0.0,0.01,0.11
29,0.933,0.98,0.54,0.48,1.61,0.14,0.0,0.95,0.0,0.0,0.45,0.0,0.1,0.29,0.0,0.0,0.01,0.05,0.11
30,0.967,0.98,0.51,0.46,1.45,0.18,0.0,0.99,0.0,0.0,0.43,0.0,0.07,0.25,0.0,0.0,0.01,0.11,0.0
31,1.0,0.98,0.55,0.65,1.39,0.11,0.0,0.76,0.0,0.0,0.39,0.0,0.04,0.19,0.0,0.0,0.01,0.19,0.0
32,1.033,0.98,0.51,0.67,1.39,0.1,0.0,0.68,0.0,0.0,0.38,0.0,0.05,0.16,0.05,0.0,0.0,0.23,0.0
33,1.067,0.98,0.5,0.78,1.45,0.07,0.0,0.46,0.0,0.0,0.36,0.0,0.05,0.15,0.08,0.0,0.0,0.23,0.0
34,1.1,0.98,0.52,0.79,1.4,0.05,0.0,0.45,0.0,0.0,0.35,0.0,0.04,0.2,0.13,0.0,0.0,0.16,0.0
35,1.133,0.98,0.47,0.78,1.35,0.07,0.0,0.37,0.0,0.0,0.36,0.0,0.0,0.23,0.11,0.0,0.0,0.13,0.0
36,1.167,0.98,0.51,0.64,1.4,0.14,0.0,0.64,0.0,0.03,0.4,0.0,0.0,0.3,0.12,0.0,0.0,0.17,0.0
37,1.2,0.98,0.48,0.61,1.44,0.25,0.0,0.66,0.0,0.08,0.39,0.0,0.0,0.33,0.07,0.0,0.0,0.25,0.0
38,1.233,0.98,0.41,0.51,1.43,0.4,0.0,0.77,0.0,0.08,0.34,0.0,0.0,0.36,0.03,0.0,0.0,0.29,0.03
39,1.267,0.98,0.43,0.5,1.44,0.29,0.0,0.63,0.0,0.07,0.3,0.0,0.0,0.37,0.0,0.0,0.0,0.27,0.03
40,1.3,0.98,0.46,0.4,1.4,0.24,0.0,0.6,0.0,0.02,0.29,0.0,0.0,0.36,0.0,0.0,0.0,0.26,0.03
41,1.333,0.98,0.51,0.41,1.45,0.28,0.0,0.58,0.0,0.02,0.33,0.0,0.0,0.39,0.0,0.01,0.0,0.35,0.02
42,1.367,0.98,0.45,0.32,1.39,0.4,0.0,0.44,0.0,0.0,0.36,0.0,0.0,0.36,0.0,0.02,0.0,0.41,0.05
43,1.4,0.98,0.43,0.28,1.43,0.47,0.0,0.37,0.0,0.0,0.36,0.0,0.0,0.4,0.0,0.05,0.0,0.42,0.05
