frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.58,0.43,0.84,0.0,0.0,0.0,0.0,0.22,0.26,0.0,0.35,0.0,0.0,0.0,0.78,0.23,0.15
2,0.033,0.98,0.43,0.19,0.76,0.04,0.0,0.0,0.0,0.21,0.26,0.0,0.36,0.0,0.0,0.0,0.75,0.16,0.07
3,0.067,0.98,0.4,0.13,0.74,0.04,0.0,0.0,0.0,0.21,0.25,0.0,0.39,0.02,0.0,0.0,0.75,0.17,0.02
4,0.1,0.98,0.37,0.23,0.74,0.0,0.0,0.0,0.0,0.23,0.27,0.0,0.38,0.02,0.0,0.0,0.77,0.08,0.05
5,0.133,0.98,0.45,0.35,0.76,0.0,0.0,0.0,0.0,0.24,0.28,0.0,0.41,0.02,0.0,0.0,0.74,0.1,0.02
6,0.167,0.98,0.42,0.36,0.77,0.0,0.0,0.0,0.0,0.25,0.31,0.0,0.39,0.0,0.0,0.0,0.73,0.02,0.02
7,0.2,0.98,0.49,0.24,0.85,0.0,0.0,0.04,0.0,0.21,0.3,0.0,0.4,0.0,0.0,0.0,0.69,0.03,0.12
8,0.233,0.98,0.48,0.16,0.95,0.0,0.0,0.3,0.0,0.31,0.32,0.0,0.41,0.0,0.0,0.0,0.71,0.08,0.83
9,0.267,0.98,0.45,0.13,1.01,0.0,0.0,0.37,0.0,0.39,0.33,0.0,0.4,0.0,0.0,0.0,0.71,0.12,1.17
10,0.3,0.98,0.4,0.16,0.98,0.0,0.0,0.4,0.0,0.41,0.35,0.0,0.41,0.0,0.0,0.0,0.7,0.11,1.11
11,0.333,0.98,0.37,0.17,0.8,0.0,0.0,0.14,0.0,0.35,0.33,0.0,0.36,0.01,0.0,0.0,0.7,0.04,0.62
12,0.367,0.98,0.37,0.18,0.72,0.04,0.0,0.07,0.0,0.31,0.31,0.0,0.37,0.03,0.0,0.0,0.69,0.0,0.31
13,0.4,0.98,0.38,0.23,0.69,0.15,0.0,0.0,0.0,0.32,0.3,0.0,0.35,0.04,0.0,0.0,0.72,0.03,0.26
14,0.433,0.98,0.41,0.28,0.77,0.21,0.0,0.0,0.0,0.31,0.3,0.0,0.41,0.05,0.0,0.0,0.71,0.04,0.08
15,0.467,0.98,0.44,0.29,0.77,0.3,0.0,0.07,0.0,0.3,0.32,0.0,0.33,0.04,0.0,0.0,0.68,0.12,0.04
