AU,F_value,p_value
AU04_r,25000.260094100962,0.0
AU07_r,9621.937208211137,0.0
AU12_r,6770.342080445972,0.0
AU14_r,2117.5192562874972,0.0
AU06_r,1539.091886926666,0.0
AU10_r,1124.4572550091743,0.0
AU25_r,233.81298687476638,3.535813255284043e-99
AU17_r,209.54460627784078,3.089842645587594e-89
AU26_r,122.40558495578578,5.05821878018947e-53
AU20_r,111.32567686631893,2.3334071282324756e-48
AU15_r,72.43505749400919,7.032752143885745e-32
AU01_r,66.47994252135597,2.4296324688909948e-29
AU09_r,49.215023136003026,5.857278410523912e-22
AU45_r,37.0648120724943,9.624849382340704e-17
AU23_r,34.845841938025785,8.664947145095065e-16
AU02_r,29.208683661955593,2.316610229412854e-13
AU05_r,12.638368608058995,3.3160395215679112e-06
