frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.29,0.78,0.0,0.55,1.2,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.6,0.06,0.0
2,0.033,0.98,0.25,0.44,0.85,0.05,0.55,1.23,0.0,0.09,0.03,0.0,0.0,0.12,0.0,0.0,0.33,0.02,0.0
3,0.067,0.98,0.31,0.38,0.88,0.05,0.53,1.31,0.0,0.13,0.03,0.0,0.02,0.18,0.0,0.0,0.23,0.0,0.0
4,0.1,0.98,0.24,0.18,0.89,0.03,0.49,1.37,0.0,0.15,0.0,0.0,0.03,0.16,0.0,0.0,0.25,0.0,0.0
5,0.133,0.98,0.22,0.18,0.91,0.08,0.5,1.46,0.0,0.12,0.01,0.0,0.08,0.19,0.0,0.0,0.35,0.0,0.0
6,0.167,0.98,0.23,0.24,0.92,0.12,0.52,1.52,0.0,0.1,0.03,0.0,0.13,0.16,0.0,0.0,0.37,0.0,0.0
7,0.2,0.98,0.22,0.3,0.9,0.12,0.58,1.62,0.0,0.12,0.06,0.0,0.13,0.17,0.0,0.0,0.41,0.0,0.0
8,0.233,0.98,0.27,0.43,0.88,0.09,0.63,1.67,0.0,0.16,0.07,0.0,0.08,0.09,0.0,0.0,0.44,0.0,0.0
9,0.267,0.98,0.26,0.55,0.77,0.16,0.63,1.61,0.0,0.15,0.06,0.0,0.03,0.05,0.0,0.0,0.42,0.0,0.02
10,0.3,0.98,0.27,0.61,0.67,0.16,0.61,1.44,0.0,0.09,0.03,0.0,0.02,0.0,0.0,0.0,0.39,0.0,0.13
11,0.333,0.98,0.17,0.52,0.59,0.11,0.62,1.34,0.0,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.35,0.0,0.28
12,0.367,0.98,0.15,0.42,0.54,0.01,0.65,1.33,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.39,0.0,0.42
13,0.4,0.98,0.12,0.38,0.52,0.01,0.68,1.34,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.4,0.0,0.41
