frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,0.75,0.0,0.0,1.0,0.44,0.0,0.03,0.0,0.0,0.0,0.0,0.13,0.62,0.1,0.32
2,0.033,0.98,0.0,0.0,0.72,0.0,0.04,1.21,0.39,0.0,0.14,0.0,0.0,0.0,0.01,0.04,0.58,0.13,2.14
3,0.067,0.98,0.0,0.11,0.84,0.0,0.08,1.33,0.36,0.0,0.22,0.0,0.0,0.0,0.01,0.0,0.54,0.12,3.06
4,0.1,0.98,0.0,0.13,1.0,0.0,0.11,1.34,0.38,0.03,0.32,0.0,0.0,0.06,0.0,0.0,0.51,0.17,2.93
5,0.133,0.98,0.03,0.14,1.19,0.0,0.07,1.19,0.36,0.04,0.34,0.0,0.0,0.08,0.05,0.0,0.48,0.13,2.12
6,0.167,0.98,0.03,0.06,1.17,0.0,0.03,0.97,0.31,0.04,0.39,0.0,0.0,0.09,0.1,0.0,0.43,0.19,1.41
7,0.2,0.98,0.03,0.06,1.1,0.0,0.0,0.85,0.17,0.01,0.41,0.0,0.0,0.03,0.14,0.0,0.35,0.2,0.82
8,0.233,0.98,0.04,0.05,0.91,0.0,0.0,0.71,0.08,0.0,0.45,0.0,0.0,0.02,0.13,0.0,0.24,0.17,0.55
9,0.267,0.98,0.06,0.07,0.82,0.0,0.0,0.59,0.02,0.0,0.44,0.0,0.0,0.0,0.12,0.0,0.17,0.1,0.33
10,0.3,0.98,0.06,0.1,0.75,0.0,0.0,0.45,0.01,0.0,0.43,0.0,0.0,0.0,0.08,0.0,0.15,0.04,0.31
11,0.333,0.98,0.03,0.13,0.71,0.0,0.0,0.4,0.01,0.0,0.4,0.0,0.0,0.0,0.05,0.0,0.15,0.03,0.35
12,0.367,0.98,0.03,0.1,0.74,0.0,0.0,0.52,0.0,0.0,0.44,0.0,0.0,0.0,0.02,0.0,0.13,0.04,0.41
13,0.4,0.98,0.04,0.05,0.78,0.0,0.0,0.55,0.05,0.0,0.43,0.0,0.0,0.0,0.02,0.0,0.14,0.04,0.28
14,0.433,0.98,0.04,0.01,0.79,0.0,0.0,0.5,0.08,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.26
15,0.467,0.98,0.03,0.0,0.76,0.05,0.0,0.39,0.08,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.22,0.06,0.11
16,0.5,0.98,0.01,0.0,0.77,0.05,0.0,0.33,0.06,0.0,0.36,0.0,0.0,0.0,0.01,0.0,0.26,0.07,0.15
17,0.533,0.98,0.01,0.0,0.83,0.05,0.0,0.24,0.07,0.0,0.36,0.0,0.02,0.0,0.01,0.0,0.32,0.07,0.05
18,0.567,0.98,0.0,0.01,0.85,0.0,0.0,0.14,0.12,0.0,0.37,0.0,0.04,0.0,0.01,0.0,0.33,0.06,0.07
