frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.49,0.0,1.47,0.0,0.38,1.68,0.0,0.35,0.25,0.0,0.18,1.48,0.47,0.0,0.0,0.0,0.0
2,0.033,0.98,0.53,0.09,1.49,0.0,0.33,1.47,0.0,0.22,0.25,0.0,0.27,1.57,0.4,0.0,0.0,0.1,0.04
3,0.067,0.98,0.59,0.09,1.49,0.0,0.36,1.6,0.0,0.25,0.27,0.0,0.28,1.66,0.4,0.0,0.0,0.1,0.04
4,0.1,0.98,0.65,0.0,1.49,0.0,0.37,1.66,0.0,0.26,0.27,0.0,0.33,1.64,0.44,0.0,0.0,0.05,0.0
5,0.133,0.98,0.72,0.04,1.45,0.0,0.34,1.57,0.0,0.25,0.29,0.0,0.33,1.59,0.52,0.0,0.0,0.0,0.0
6,0.167,0.98,0.65,0.04,1.48,0.0,0.34,1.62,0.0,0.29,0.29,0.0,0.39,1.56,0.48,0.0,0.0,0.0,0.0
7,0.2,0.98,0.53,0.04,1.53,0.0,0.41,1.79,0.0,0.44,0.3,0.0,0.33,1.71,0.39,0.0,0.0,0.0,0.0
8,0.233,0.98,0.43,0.0,1.52,0.0,0.41,1.98,0.0,0.35,0.27,0.0,0.33,1.74,0.36,0.0,0.0,0.0,0.01
9,0.267,0.98,0.46,0.0,1.44,0.0,0.39,1.59,0.0,0.22,0.29,0.0,0.32,1.65,0.36,0.0,0.0,0.01,0.01
10,0.3,0.98,0.49,0.0,1.36,0.0,0.43,1.69,0.0,0.25,0.36,0.0,0.29,1.45,0.3,0.0,0.0,0.01,0.01
11,0.333,0.98,0.5,0.0,1.44,0.0,0.47,1.9,0.0,0.38,0.38,0.0,0.2,1.51,0.36,0.0,0.0,0.01,0.0
12,0.367,0.98,0.53,0.0,1.6,0.0,0.47,2.09,0.0,0.35,0.37,0.0,0.26,1.59,0.39,0.0,0.0,0.0,0.0
13,0.4,0.98,0.54,0.0,1.59,0.0,0.42,1.61,0.0,0.29,0.36,0.0,0.22,1.63,0.48,0.0,0.0,0.0,0.0
14,0.433,0.98,0.54,0.0,1.58,0.0,0.43,1.54,0.0,0.37,0.41,0.0,0.31,1.58,0.4,0.0,0.0,0.0,0.0
15,0.467,0.98,0.49,0.0,1.5,0.0,0.45,1.59,0.0,0.47,0.41,0.0,0.14,1.59,0.43,0.0,0.0,0.0,0.0
16,0.5,0.98,0.46,0.06,1.56,0.0,0.39,1.72,0.0,0.39,0.37,0.0,0.27,1.63,0.42,0.0,0.0,0.0,0.0
17,0.533,0.98,0.53,0.08,1.48,0.0,0.35,1.5,0.0,0.33,0.35,0.0,0.2,1.65,0.46,0.0,0.0,0.0,0.0
18,0.567,0.98,0.48,0.08,1.47,0.0,0.36,1.54,0.0,0.4,0.4,0.0,0.26,1.58,0.4,0.0,0.0,0.0,0.0
19,0.6,0.98,0.42,0.01,1.41,0.0,0.43,1.66,0.0,0.56,0.41,0.0,0.1,1.6,0.42,0.0,0.0,0.0,0.0
20,0.633,0.98,0.28,0.0,1.49,0.0,0.4,1.62,0.0,0.48,0.39,0.0,0.14,1.63,0.37,0.0,0.0,0.0,0.0
21,0.667,0.98,0.3,0.0,1.44,0.0,0.36,1.32,0.0,0.43,0.35,0.0,0.14,1.68,0.36,0.0,0.0,0.0,0.0
22,0.7,0.98,0.37,0.0,1.44,0.0,0.41,1.38,0.0,0.49,0.39,0.0,0.24,1.61,0.24,0.0,0.0,0.0,0.0
23,0.733,0.98,0.45,0.0,1.43,0.0,0.49,1.75,0.0,0.61,0.42,0.0,0.16,1.63,0.17,0.0,0.0,0.0,0.04
24,0.767,0.98,0.44,0.0,1.57,0.0,0.46,1.9,0.0,0.5,0.41,0.0,0.24,1.68,0.15,0.0,0.0,0.0,0.06
25,0.8,0.98,0.46,0.0,1.62,0.0,0.41,1.65,0.0,0.43,0.43,0.0,0.26,1.72,0.17,0.0,0.0,0.0,0.06
26,0.833,0.98,0.44,0.0,1.63,0.0,0.45,1.57,0.0,0.5,0.46,0.0,0.37,1.71,0.13,0.0,0.0,0.0,0.03
27,0.867,0.98,0.52,0.0,1.68,0.0,0.62,1.89,0.0,0.57,0.5,0.0,0.38,1.7,0.07,0.0,0.0,0.03,0.59
28,0.9,0.98,0.59,0.0,1.68,0.0,0.79,2.13,0.0,0.7,0.55,0.0,0.34,1.71,0.12,0.0,0.0,0.04,1.43
29,0.933,0.93,0.69,0.0,1.81,0.0,0.79,1.97,0.0,0.66,0.61,0.0,0.42,1.72,0.29,0.0,0.0,0.04,2.41
30,0.967,0.93,0.72,0.0,1.75,0.0,0.77,1.59,0.0,0.87,0.72,0.0,0.48,1.73,0.43,0.0,0.0,0.11,2.65
31,1.0,0.98,0.61,0.0,1.73,0.0,0.81,1.56,0.04,0.9,0.72,0.0,0.5,1.67,0.34,0.0,0.0,0.1,2.55
32,1.033,0.98,0.38,0.0,1.71,0.0,0.98,1.95,0.11,0.97,0.68,0.0,0.39,1.64,0.16,0.0,0.0,0.1,2.26
33,1.067,0.98,0.17,0.0,1.77,0.0,1.09,2.4,0.22,1.0,0.63,0.0,0.41,1.74,0.01,0.0,0.0,0.0,1.89
34,1.1,0.98,0.24,0.0,1.93,0.0,1.1,2.86,0.26,0.99,0.63,0.0,0.58,1.96,0.1,0.0,0.0,0.0,1.52
35,1.133,0.98,0.29,0.0,1.92,0.0,1.16,3.17,0.48,1.25,0.73,0.0,0.81,2.18,0.17,0.0,0.0,0.1,0.83
36,1.167,0.98,0.26,0.0,1.91,0.0,1.28,3.6,0.79,1.47,0.73,0.0,0.68,2.19,0.29,0.0,0.0,0.17,0.43
37,1.2,0.98,0.14,0.0,1.94,0.0,1.52,4.1,1.24,1.78,0.81,0.0,0.62,2.14,0.19,0.0,0.0,0.18,0.71
38,1.233,0.98,0.18,0.0,2.02,0.0,1.66,4.33,1.53,1.93,0.82,0.0,0.53,2.07,0.25,0.0,0.0,0.16,1.58
39,1.267,0.93,0.22,0.0,2.16,0.0,1.84,4.44,1.64,2.12,1.0,0.0,0.68,2.06,0.33,0.0,0.0,0.24,2.25
40,1.3,0.93,0.15,0.0,2.19,0.0,1.88,4.29,1.61,2.27,1.08,0.0,0.73,2.06,0.7,0.09,0.0,0.37,1.78
41,1.333,0.93,0.07,0.0,2.07,0.0,1.8,4.0,1.46,2.35,1.17,0.0,0.68,1.95,0.89,0.29,0.02,0.55,0.92
42,1.367,0.98,0.03,0.0,1.93,0.0,1.71,3.95,1.45,2.39,1.12,0.0,0.59,1.78,0.89,0.38,0.02,0.43,0.19
43,1.4,0.98,0.02,0.0,1.8,0.0,1.61,3.91,1.37,2.27,1.09,0.0,0.65,1.65,0.73,0.37,0.02,0.37,0.0
44,1.433,0.98,0.0,0.0,1.77,0.0,1.55,3.8,1.27,2.24,1.1,0.0,0.62,1.57,0.64,0.3,0.12,0.24,0.0
45,1.467,0.98,0.0,0.0,1.7,0.0,1.5,3.61,1.17,2.18,1.15,0.0,0.58,1.52,0.47,0.3,0.26,0.21,0.0
46,1.5,0.98,0.0,0.0,1.69,0.0,1.41,3.24,1.06,2.21,1.23,0.0,0.31,1.43,0.37,0.35,0.41,0.21,0.0
47,1.533,0.98,0.0,0.06,1.57,0.0,1.42,3.41,1.11,2.16,1.23,0.01,0.24,1.38,0.13,0.26,0.4,0.08,0.0
48,1.567,0.98,0.11,0.11,1.5,0.0,1.36,3.3,0.96,2.01,1.27,0.03,0.2,1.37,0.2,0.25,0.45,0.14,0.0
49,1.6,0.98,0.12,0.11,1.45,0.0,1.43,3.42,0.97,1.9,1.29,0.03,0.15,1.33,0.16,0.13,0.34,0.06,0.0
50,1.633,0.98,0.26,0.1,1.5,0.0,1.43,3.23,0.8,1.87,1.34,0.05,0.09,1.29,0.23,0.13,0.41,0.06,0.0
51,1.667,0.98,0.28,0.17,1.52,0.0,1.45,3.26,0.8,1.88,1.33,0.03,0.02,1.25,0.17,0.06,0.25,0.07,0.0
52,1.7,0.98,0.54,0.44,1.37,0.0,1.38,3.14,0.6,1.91,1.4,0.15,0.02,1.22,0.23,0.14,0.34,0.21,0.0
53,1.733,0.98,0.6,0.58,1.22,0.0,1.32,3.06,0.5,1.81,1.42,0.12,0.03,1.27,0.34,0.18,0.28,0.26,0.0
54,1.767,0.98,0.95,0.81,0.99,0.0,1.37,2.96,0.25,1.81,1.57,0.16,0.01,1.36,0.45,0.23,0.44,0.42,0.34
55,1.8,0.98,1.13,1.06,1.06,0.0,1.38,2.73,0.19,1.74,1.6,0.18,0.01,1.47,0.51,0.14,0.34,0.28,1.03
56,1.833,0.93,1.46,1.33,1.17,0.0,1.5,2.71,0.13,1.81,1.67,0.23,0.0,1.5,0.43,0.06,0.38,0.4,1.41
57,1.867,0.98,1.3,1.31,1.28,0.0,1.44,2.54,0.12,1.72,1.57,0.26,0.0,1.45,0.4,0.01,0.31,0.17,1.31
58,1.9,0.98,1.27,1.14,1.17,0.0,1.4,2.49,0.06,1.73,1.52,0.12,0.0,1.42,0.32,0.1,0.51,0.19,0.62
59,1.933,0.98,1.14,1.14,1.16,0.0,1.31,2.34,0.01,1.67,1.45,0.1,0.0,1.38,0.33,0.15,0.47,0.01,0.24
60,1.967,0.98,1.3,1.23,1.15,0.02,1.22,2.23,0.0,1.73,1.47,0.03,0.0,1.32,0.4,0.27,0.52,0.11,0.0
61,2.0,0.98,1.22,1.15,1.21,0.02,1.22,2.34,0.0,1.69,1.45,0.05,0.03,1.38,0.35,0.24,0.41,0.09,0.0
62,2.033,0.98,1.21,1.04,1.09,0.07,1.16,2.24,0.0,1.72,1.49,0.03,0.03,1.39,0.4,0.3,0.45,0.19,0.0
63,2.067,0.98,1.03,0.92,1.12,0.05,1.21,2.39,0.01,1.69,1.47,0.02,0.03,1.38,0.42,0.23,0.42,0.12,0.0
64,2.1,0.98,1.03,0.85,0.99,0.12,1.17,2.35,0.01,1.72,1.55,0.0,0.0,1.3,0.5,0.29,0.51,0.24,0.0
65,2.133,0.98,0.92,0.81,1.01,0.07,1.19,2.51,0.01,1.64,1.53,0.0,0.0,1.3,0.48,0.21,0.43,0.15,0.0
66,2.167,0.98,1.04,0.93,0.91,0.07,1.13,2.4,0.0,1.61,1.64,0.01,0.0,1.36,0.55,0.42,0.54,0.22,0.0
67,2.2,0.98,1.12,1.16,0.92,0.03,1.12,2.36,0.0,1.58,1.58,0.01,0.0,1.37,0.57,0.45,0.54,0.1,0.0
68,2.233,0.98,1.14,1.14,1.05,0.17,1.18,2.36,0.03,1.65,1.61,0.01,0.0,1.32,0.43,0.4,0.46,0.1,0.0
69,2.267,0.98,1.12,1.11,1.04,0.17,1.17,2.25,0.03,1.52,1.59,0.0,0.05,1.35,0.35,0.38,0.4,0.0,0.0
70,2.3,0.98,1.17,1.08,1.09,0.21,1.15,2.15,0.03,1.44,1.63,0.0,0.06,1.27,0.42,0.38,0.42,0.01,0.0
71,2.333,0.98,1.21,1.04,0.97,0.13,1.16,2.12,0.01,1.43,1.63,0.0,0.06,1.24,0.42,0.38,0.49,0.01,0.0
72,2.367,0.98,1.27,0.94,0.98,0.25,1.27,2.16,0.01,1.58,1.62,0.0,0.01,1.14,0.34,0.21,0.43,0.01,0.0
73,2.4,0.98,1.04,0.74,1.04,0.2,1.32,2.2,0.04,1.58,1.61,0.0,0.0,1.2,0.2,0.13,0.27,0.0,0.0
74,2.433,0.98,1.1,0.78,0.98,0.14,1.26,2.05,0.03,1.56,1.66,0.0,0.0,1.32,0.3,0.25,0.3,0.02,0.0
75,2.467,0.98,0.88,0.73,1.04,0.01,1.22,2.15,0.03,1.45,1.63,0.0,0.0,1.4,0.33,0.28,0.28,0.02,0.0
76,2.5,0.98,1.06,0.83,0.97,0.06,1.21,2.16,0.0,1.56,1.65,0.0,0.0,1.45,0.38,0.36,0.34,0.08,0.0
77,2.533,0.98,1.0,0.73,1.05,0.06,1.24,2.36,0.08,1.55,1.58,0.0,0.0,1.43,0.28,0.26,0.23,0.05,0.0
78,2.567,0.98,1.09,0.71,0.95,0.17,1.24,2.21,0.08,1.6,1.63,0.0,0.0,1.42,0.18,0.31,0.26,0.05,0.0
79,2.6,0.98,0.88,0.44,0.94,0.1,1.25,2.32,0.13,1.51,1.57,0.0,0.0,1.26,0.03,0.2,0.12,0.0,0.04
80,2.633,0.98,0.87,0.53,0.86,0.1,1.18,2.14,0.07,1.48,1.64,0.0,0.0,1.32,0.03,0.41,0.12,0.0,0.04
81,2.667,0.98,0.73,0.31,0.92,0.0,1.17,2.37,0.1,1.46,1.57,0.0,0.0,1.32,0.0,0.37,0.0,0.0,0.11
82,2.7,0.98,0.72,0.37,0.92,0.03,1.13,2.27,0.04,1.48,1.59,0.0,0.0,1.48,0.0,0.62,0.0,0.0,0.08
83,2.733,0.98,0.47,0.1,0.88,0.03,1.11,2.48,0.08,1.5,1.48,0.0,0.0,1.37,0.0,0.62,0.0,0.0,0.09
84,2.767,0.98,0.39,0.16,0.92,0.03,1.09,2.42,0.06,1.57,1.52,0.0,0.0,1.57,0.0,0.89,0.0,0.0,0.02
85,2.8,0.98,0.37,0.16,0.88,0.0,1.04,2.53,0.06,1.53,1.53,0.0,0.0,1.78,0.0,1.07,0.03,0.08,0.02
86,2.833,0.98,0.34,0.16,0.92,0.0,1.03,2.45,0.03,1.51,1.57,0.0,0.0,1.88,0.0,1.13,0.03,0.08,0.02
87,2.867,0.98,0.36,0.11,0.93,0.0,1.02,2.39,0.03,1.44,1.58,0.0,0.0,1.88,0.0,1.17,0.03,0.08,0.02
88,2.9,0.98,0.34,0.05,0.94,0.0,1.05,2.31,0.03,1.45,1.57,0.0,0.0,1.91,0.03,1.24,0.0,0.0,0.02
89,2.933,0.98,0.28,0.05,0.96,0.0,1.11,2.34,0.06,1.46,1.55,0.0,0.0,1.94,0.03,1.29,0.0,0.0,0.0
90,2.967,0.98,0.27,0.05,0.92,0.0,1.14,2.48,0.1,1.46,1.55,0.0,0.0,1.93,0.07,1.32,0.0,0.0,0.0
91,3.0,0.98,0.1,0.0,1.02,0.0,1.19,2.56,0.15,1.47,1.54,0.0,0.0,1.78,0.05,1.13,0.0,0.0,0.0
92,3.033,0.98,0.13,0.0,1.06,0.0,1.19,2.66,0.19,1.47,1.56,0.0,0.0,1.89,0.05,1.23,0.0,0.0,0.0
93,3.067,0.98,0.03,0.0,1.15,0.0,1.28,2.78,0.28,1.43,1.51,0.0,0.0,1.85,0.0,1.13,0.0,0.0,0.0
94,3.1,0.98,0.05,0.0,1.16,0.0,1.32,2.83,0.3,1.42,1.55,0.0,0.0,1.95,0.0,1.28,0.0,0.0,0.0
95,3.133,0.98,0.02,0.0,1.22,0.0,1.36,2.81,0.34,1.37,1.51,0.0,0.0,1.84,0.0,1.2,0.0,0.0,0.07
96,3.167,0.98,0.09,0.0,1.23,0.0,1.31,2.62,0.3,1.45,1.57,0.0,0.0,1.94,0.0,1.28,0.0,0.0,0.07
97,3.2,0.98,0.08,0.0,1.31,0.0,1.35,2.65,0.35,1.4,1.49,0.0,0.0,1.81,0.0,1.16,0.0,0.0,0.14
98,3.233,0.98,0.08,0.0,1.36,0.0,1.29,2.59,0.29,1.46,1.53,0.0,0.0,1.92,0.0,1.27,0.0,0.03,0.08
99,3.267,0.98,0.0,0.0,1.4,0.0,1.32,2.86,0.34,1.39,1.47,0.0,0.0,1.84,0.0,1.19,0.0,0.03,0.19
100,3.3,0.98,0.0,0.0,1.43,0.0,1.28,2.85,0.32,1.53,1.56,0.0,0.0,1.93,0.0,1.28,0.0,0.11,0.13
101,3.333,0.98,0.0,0.0,1.42,0.0,1.34,2.93,0.36,1.54,1.58,0.01,0.0,1.81,0.0,1.12,0.0,0.08,0.16
102,3.367,0.98,0.02,0.0,1.38,0.0,1.29,2.71,0.28,1.62,1.66,0.01,0.0,1.87,0.0,1.22,0.0,0.12,0.04
103,3.4,0.98,0.02,0.0,1.39,0.0,1.32,2.79,0.35,1.58,1.64,0.05,0.0,1.76,0.0,1.07,0.0,0.07,0.04
104,3.433,0.98,0.04,0.0,1.42,0.0,1.31,2.77,0.29,1.56,1.65,0.04,0.0,1.84,0.15,1.2,0.0,0.07,0.0
105,3.467,0.98,0.03,0.0,1.47,0.0,1.4,2.95,0.37,1.54,1.59,0.15,0.0,1.76,0.15,1.04,0.0,0.02,0.03
106,3.5,0.98,0.05,0.0,1.44,0.0,1.36,2.83,0.31,1.56,1.59,0.15,0.0,1.79,0.23,1.11,0.0,0.0,0.03
107,3.533,0.98,0.02,0.0,1.4,0.0,1.38,2.79,0.4,1.58,1.57,0.15,0.0,1.66,0.11,0.91,0.0,0.0,0.16
108,3.567,0.98,0.13,0.0,1.44,0.0,1.38,2.58,0.44,1.6,1.66,0.15,0.0,1.64,0.3,0.92,0.0,0.0,0.13
109,3.6,0.98,0.11,0.0,1.44,0.0,1.45,2.69,0.46,1.48,1.68,0.19,0.0,1.53,0.22,0.76,0.0,0.0,0.18
110,3.633,0.98,0.11,0.0,1.42,0.0,1.47,2.65,0.35,1.48,1.76,0.25,0.0,1.52,0.23,0.85,0.0,0.0,0.05
111,3.667,0.98,0.0,0.0,1.35,0.0,1.47,2.88,0.27,1.41,1.74,0.17,0.0,1.41,0.06,0.75,0.0,0.0,0.05
112,3.7,0.98,0.06,0.0,1.36,0.0,1.46,2.91,0.19,1.48,1.8,0.18,0.0,1.44,0.16,0.84,0.0,0.02,0.0
113,3.733,0.98,0.06,0.0,1.3,0.0,1.49,3.06,0.26,1.41,1.77,0.11,0.0,1.4,0.17,0.68,0.0,0.04,0.0
114,3.767,0.98,0.06,0.0,1.25,0.0,1.47,2.84,0.22,1.45,1.79,0.16,0.0,1.44,0.27,0.74,0.0,0.08,0.0
115,3.8,0.98,0.0,0.0,1.24,0.0,1.51,2.84,0.26,1.5,1.75,0.1,0.0,1.38,0.3,0.59,0.0,0.06,0.0
116,3.833,0.98,0.01,0.0,1.28,0.0,1.47,2.64,0.2,1.56,1.76,0.17,0.0,1.41,0.35,0.68,0.0,0.1,0.0
117,3.867,0.98,0.01,0.0,1.36,0.0,1.52,2.79,0.31,1.53,1.73,0.1,0.0,1.27,0.31,0.54,0.0,0.05,0.0
118,3.9,0.98,0.05,0.0,1.36,0.0,1.47,2.63,0.31,1.5,1.74,0.09,0.0,1.28,0.3,0.59,0.0,0.05,0.0
119,3.933,0.98,0.04,0.0,1.39,0.0,1.52,2.85,0.42,1.44,1.73,0.02,0.0,1.1,0.33,0.42,0.0,0.0,0.0
120,3.967,0.98,0.1,0.0,1.39,0.0,1.5,2.74,0.34,1.49,1.79,0.07,0.0,1.1,0.32,0.46,0.0,0.01,0.0
121,4.0,0.98,0.06,0.0,1.46,0.0,1.57,3.0,0.39,1.45,1.76,0.1,0.0,0.94,0.29,0.31,0.0,0.01,0.0
122,4.033,0.98,0.11,0.0,1.45,0.0,1.52,2.73,0.37,1.57,1.82,0.14,0.0,0.98,0.19,0.37,0.0,0.09,0.0
123,4.067,0.98,0.05,0.0,1.53,0.0,1.6,2.89,0.48,1.54,1.75,0.13,0.0,0.92,0.22,0.24,0.0,0.08,0.0
124,4.1,0.98,0.11,0.0,1.48,0.0,1.56,2.61,0.54,1.65,1.81,0.08,0.0,1.0,0.3,0.27,0.0,0.19,0.0
125,4.133,0.98,0.05,0.0,1.45,0.0,1.59,2.74,0.6,1.54,1.77,0.06,0.0,0.91,0.33,0.13,0.0,0.13,0.1
126,4.167,0.98,0.1,0.0,1.43,0.0,1.54,2.59,0.54,1.58,1.81,0.04,0.0,0.99,0.38,0.15,0.02,0.24,0.1
127,4.2,0.98,0.04,0.0,1.46,0.0,1.52,2.59,0.5,1.52,1.76,0.06,0.0,0.94,0.35,0.17,0.02,0.26,0.1
128,4.233,0.98,0.09,0.0,1.48,0.0,1.5,2.4,0.46,1.54,1.77,0.04,0.0,1.05,0.41,0.32,0.04,0.33,0.0
129,4.267,0.98,0.04,0.0,1.46,0.0,1.48,2.49,0.43,1.53,1.78,0.02,0.0,1.05,0.44,0.45,0.09,0.38,0.0
130,4.3,0.98,0.09,0.0,1.47,0.0,1.48,2.54,0.41,1.57,1.83,0.0,0.0,1.07,0.31,0.52,0.11,0.43,0.0
131,4.333,0.98,0.05,0.0,1.47,0.0,1.5,2.78,0.39,1.6,1.82,0.0,0.0,0.96,0.17,0.45,0.09,0.37,0.05
132,4.367,0.98,0.05,0.0,1.52,0.0,1.48,2.65,0.41,1.65,1.8,0.0,0.0,0.97,0.11,0.44,0.07,0.34,0.05
133,4.4,0.98,0.0,0.0,1.54,0.0,1.45,2.53,0.39,1.65,1.75,0.01,0.0,1.0,0.15,0.43,0.13,0.26,0.05
134,4.433,0.98,0.0,0.0,1.61,0.0,1.4,2.3,0.38,1.68,1.79,0.01,0.0,1.02,0.2,0.52,0.16,0.42,0.09
135,4.467,0.98,0.0,0.0,1.62,0.0,1.37,2.27,0.37,1.62,1.84,0.01,0.0,1.0,0.09,0.52,0.2,0.49,0.1
136,4.5,0.98,0.0,0.0,1.66,0.0,1.38,2.34,0.32,1.53,1.86,0.0,0.0,0.91,0.06,0.5,0.17,0.55,0.14
137,4.533,0.98,0.0,0.0,1.73,0.0,1.29,2.33,0.26,1.37,1.8,0.0,0.0,0.95,0.01,0.66,0.27,0.5,0.09
138,4.567,0.98,0.0,0.0,1.68,0.0,1.23,2.23,0.25,1.26,1.77,0.0,0.0,0.9,0.01,0.74,0.33,0.46,0.14
139,4.6,0.98,0.0,0.0,1.65,0.0,1.24,2.24,0.33,1.19,1.77,0.0,0.0,0.78,0.04,0.72,0.28,0.3,0.19
140,4.633,0.98,0.0,0.0,1.65,0.0,1.3,2.34,0.36,1.14,1.75,0.0,0.0,0.72,0.05,0.67,0.29,0.26,0.15
141,4.667,0.98,0.0,0.0,1.7,0.0,1.26,2.36,0.33,1.05,1.72,0.0,0.02,0.76,0.05,0.75,0.37,0.25,0.23
142,4.7,0.98,0.0,0.0,1.75,0.0,1.21,2.24,0.29,1.09,1.75,0.0,0.02,0.89,0.01,0.85,0.38,0.4,0.18
143,4.733,0.98,0.0,0.0,1.7,0.0,1.21,2.02,0.36,1.23,1.83,0.0,0.02,0.97,0.08,0.77,0.26,0.42,0.18
144,4.767,0.98,0.0,0.0,1.69,0.0,1.26,2.02,0.34,1.33,1.89,0.0,0.0,0.98,0.08,0.64,0.04,0.37,0.04
145,4.8,0.98,0.0,0.0,1.63,0.0,1.26,2.11,0.37,1.34,1.88,0.0,0.0,1.08,0.08,0.66,0.02,0.34,0.0
