AU,F_value,p_value
AU10_r,12136.459478455134,0.0
AU12_r,4916.879454197484,0.0
AU06_r,4135.4071414571645,0.0
AU07_r,2870.702204660323,0.0
AU04_r,2448.5133367178632,0.0
AU17_r,1582.3640113931403,0.0
AU25_r,1579.1307773270796,0.0
AU26_r,453.6538830549328,2.914675671720363e-186
AU23_r,363.33077502759596,4.869030067978555e-151
AU01_r,328.9787354973161,1.9728442862826538e-137
AU09_r,268.35120475621136,4.023109517724812e-113
AU15_r,221.1028712443281,6.540925423456571e-94
AU02_r,186.508438713955,1.0795083029297723e-79
AU20_r,169.9512332487726,7.656218531704444e-73
AU05_r,66.20332135184613,3.236010491972743e-29
AU14_r,40.04978413027115,5.044878499103064e-18
AU45_r,31.57009887546567,2.2345049412860843e-14
