frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,0.0,0.0,0.13,0.0,0.05,0.06,0.41,0.0,0.78,0.96,0.0,0.0,0.73,0.0,0.0
2,0.017,0.98,0.0,0.0,0.0,0.0,0.16,0.0,0.02,0.31,0.58,0.0,0.79,1.13,0.0,0.0,0.57,0.0,0.0
3,0.033,0.98,0.0,0.0,0.0,0.0,0.15,0.0,0.02,0.43,0.61,0.0,0.88,1.21,0.0,0.0,0.57,0.0,0.0
4,0.05,0.98,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.42,0.58,0.0,0.86,1.28,0.0,0.0,0.62,0.0,0.0
5,0.067,0.98,0.03,0.03,0.0,0.0,0.15,0.0,0.02,0.41,0.57,0.0,0.96,1.24,0.0,0.0,0.71,0.0,0.0
6,0.083,0.98,0.08,0.03,0.0,0.0,0.23,0.0,0.0,0.43,0.6,0.0,0.93,1.23,0.0,0.0,0.71,0.0,0.0
7,0.1,0.98,0.17,0.03,0.0,0.0,0.23,0.0,0.0,0.42,0.53,0.0,1.06,1.16,0.0,0.0,0.68,0.0,0.0
8,0.117,0.98,0.16,0.06,0.0,0.0,0.21,0.0,0.0,0.43,0.53,0.0,0.99,1.16,0.0,0.0,0.64,0.0,0.0
9,0.133,0.98,0.24,0.06,0.0,0.0,0.18,0.0,0.0,0.45,0.54,0.0,1.08,1.13,0.0,0.0,0.59,0.0,0.0
10,0.15,0.98,0.14,0.06,0.0,0.0,0.16,0.0,0.0,0.47,0.62,0.0,1.09,1.24,0.0,0.0,0.59,0.0,0.0
11,0.167,0.98,0.13,0.0,0.0,0.0,0.18,0.0,0.01,0.41,0.52,0.0,1.11,1.17,0.0,0.0,0.61,0.0,0.0
12,0.183,0.98,0.08,0.0,0.0,0.0,0.16,0.0,0.01,0.38,0.52,0.0,1.06,1.22,0.0,0.0,0.62,0.0,0.0
13,0.2,0.98,0.08,0.0,0.0,0.0,0.22,0.0,0.01,0.32,0.54,0.0,1.11,1.13,0.0,0.0,0.59,0.0,0.0
14,0.217,0.98,0.08,0.0,0.0,0.0,0.17,0.0,0.0,0.37,0.58,0.0,1.23,1.16,0.0,0.0,0.57,0.0,0.0
15,0.233,0.98,0.06,0.0,0.0,0.0,0.13,0.0,0.0,0.35,0.51,0.0,1.27,1.1,0.0,0.0,0.64,0.0,0.0
16,0.25,0.98,0.17,0.0,0.0,0.0,0.11,0.0,0.0,0.4,0.56,0.0,1.2,1.14,0.0,0.0,0.73,0.0,0.0
17,0.267,0.98,0.18,0.0,0.0,0.0,0.24,0.0,0.0,0.44,0.64,0.0,1.18,1.11,0.0,0.0,0.64,0.0,0.0
18,0.283,0.98,0.12,0.0,0.0,0.0,0.29,0.0,0.0,0.38,0.6,0.0,1.09,1.09,0.0,0.0,0.54,0.0,0.0
19,0.3,0.98,0.01,0.0,0.0,0.0,0.27,0.0,0.0,0.33,0.54,0.0,1.03,1.05,0.0,0.0,0.46,0.0,0.0
20,0.317,0.98,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.34,0.51,0.0,0.95,1.13,0.0,0.0,0.52,0.0,0.0
21,0.333,0.98,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.38,0.63,0.0,1.1,1.19,0.0,0.0,0.57,0.0,0.0
22,0.35,0.98,0.09,0.0,0.0,0.0,0.28,0.0,0.0,0.48,0.68,0.0,1.16,1.23,0.0,0.0,0.53,0.0,0.0
23,0.367,0.98,0.09,0.0,0.0,0.0,0.25,0.0,0.0,0.4,0.67,0.0,1.2,1.23,0.0,0.0,0.52,0.0,0.0
24,0.383,0.98,0.17,0.0,0.03,0.0,0.3,0.0,0.0,0.4,0.58,0.0,1.12,1.22,0.0,0.0,0.48,0.0,0.0
25,0.4,0.98,0.12,0.0,0.03,0.0,0.24,0.0,0.0,0.31,0.58,0.0,1.13,1.23,0.0,0.0,0.59,0.0,0.0
26,0.417,0.98,0.12,0.0,0.03,0.0,0.23,0.0,0.0,0.28,0.6,0.0,1.17,1.27,0.0,0.0,0.53,0.0,0.0
27,0.433,0.98,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.23,0.62,0.0,1.24,1.33,0.0,0.0,0.5,0.0,0.0
28,0.45,0.98,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.27,0.61,0.0,1.2,1.34,0.0,0.0,0.44,0.0,0.0
29,0.467,0.98,0.02,0.0,0.0,0.0,0.2,0.0,0.0,0.34,0.65,0.0,1.17,1.32,0.0,0.0,0.47,0.0,0.0
30,0.483,0.98,0.04,0.0,0.0,0.0,0.25,0.0,0.0,0.38,0.7,0.0,1.08,1.31,0.0,0.0,0.44,0.0,0.0
31,0.5,0.98,0.06,0.0,0.0,0.0,0.25,0.0,0.0,0.4,0.68,0.0,1.17,1.34,0.0,0.0,0.41,0.0,0.0
32,0.517,0.98,0.04,0.0,0.0,0.0,0.27,0.0,0.0,0.32,0.54,0.0,1.2,1.3,0.0,0.0,0.34,0.0,0.0
33,0.533,0.98,0.05,0.0,0.0,0.0,0.27,0.0,0.0,0.27,0.56,0.0,1.18,1.36,0.0,0.0,0.35,0.0,0.0
34,0.55,0.98,0.03,0.0,0.0,0.0,0.26,0.0,0.0,0.2,0.53,0.0,1.16,1.37,0.0,0.0,0.3,0.0,0.0
35,0.567,0.98,0.03,0.0,0.0,0.0,0.16,0.0,0.0,0.17,0.54,0.0,1.16,1.4,0.0,0.0,0.32,0.0,0.0
36,0.583,0.98,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.24,0.55,0.0,1.14,1.4,0.0,0.0,0.3,0.0,0.0
37,0.6,0.98,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.21,0.53,0.0,1.0,1.35,0.0,0.0,0.39,0.0,0.0
38,0.617,0.98,0.02,0.0,0.0,0.0,0.3,0.0,0.0,0.25,0.61,0.0,0.96,1.36,0.0,0.0,0.35,0.0,0.0
39,0.633,0.98,0.05,0.0,0.0,0.0,0.27,0.0,0.0,0.22,0.61,0.0,1.06,1.35,0.0,0.0,0.29,0.0,0.0
40,0.65,0.98,0.05,0.0,0.0,0.0,0.31,0.0,0.0,0.22,0.64,0.0,1.22,1.43,0.0,0.0,0.22,0.0,0.0
41,0.667,0.98,0.04,0.0,0.0,0.0,0.25,0.0,0.0,0.22,0.56,0.0,1.3,1.45,0.0,0.0,0.24,0.0,0.0
42,0.683,0.98,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.32,0.57,0.0,1.18,1.55,0.0,0.0,0.43,0.0,0.0
43,0.7,0.98,0.04,0.0,0.0,0.0,0.31,0.0,0.0,0.38,0.56,0.0,1.12,1.51,0.0,0.0,0.43,0.0,0.0
44,0.717,0.98,0.04,0.0,0.0,0.0,0.4,0.0,0.0,0.41,0.61,0.0,1.04,1.63,0.0,0.0,0.48,0.0,0.0
45,0.733,0.98,0.04,0.0,0.0,0.0,0.33,0.0,0.0,0.34,0.56,0.0,1.09,1.62,0.0,0.0,0.35,0.0,0.0
46,0.75,0.98,0.1,0.0,0.0,0.0,0.34,0.0,0.0,0.31,0.54,0.0,1.08,1.57,0.0,0.0,0.39,0.0,0.0
47,0.767,0.98,0.16,0.0,0.0,0.0,0.35,0.0,0.0,0.28,0.59,0.0,1.1,1.46,0.0,0.0,0.31,0.0,0.0
48,0.783,0.98,0.18,0.0,0.0,0.0,0.35,0.0,0.0,0.3,0.61,0.0,1.15,1.45,0.0,0.0,0.21,0.0,0.0
49,0.8,0.98,0.08,0.0,0.0,0.0,0.35,0.0,0.0,0.29,0.68,0.0,1.08,1.58,0.0,0.0,0.22,0.0,0.0
50,0.817,0.98,0.02,0.0,0.0,0.0,0.28,0.0,0.0,0.29,0.64,0.0,1.08,1.62,0.0,0.0,0.27,0.0,0.0
51,0.833,0.98,0.03,0.0,0.0,0.0,0.33,0.0,0.0,0.28,0.66,0.0,1.05,1.63,0.0,0.0,0.34,0.0,0.0
52,0.85,0.98,0.15,0.06,0.0,0.0,0.32,0.0,0.0,0.28,0.61,0.0,1.14,1.57,0.0,0.0,0.3,0.0,0.0
53,0.867,0.98,0.24,0.14,0.0,0.0,0.36,0.0,0.0,0.31,0.63,0.0,1.09,1.56,0.0,0.0,0.3,0.0,0.0
54,0.883,0.98,0.22,0.14,0.0,0.0,0.38,0.0,0.0,0.28,0.61,0.0,1.12,1.52,0.0,0.0,0.28,0.0,0.0
55,0.9,0.98,0.1,0.08,0.0,0.0,0.3,0.0,0.0,0.35,0.58,0.0,1.08,1.43,0.0,0.0,0.31,0.0,0.0
56,0.917,0.98,0.01,0.0,0.0,0.0,0.32,0.0,0.0,0.37,0.57,0.0,1.0,1.46,0.0,0.0,0.3,0.0,0.0
57,0.933,0.98,0.0,0.03,0.0,0.0,0.25,0.0,0.0,0.34,0.57,0.0,0.96,1.43,0.0,0.0,0.34,0.0,0.0
58,0.95,0.98,0.0,0.03,0.0,0.0,0.32,0.0,0.0,0.33,0.62,0.0,0.95,1.53,0.0,0.0,0.24,0.0,0.0
59,0.967,0.98,0.09,0.03,0.0,0.0,0.32,0.0,0.0,0.32,0.58,0.0,1.01,1.47,0.0,0.0,0.24,0.0,0.0
60,0.983,0.98,0.17,0.08,0.0,0.0,0.33,0.0,0.0,0.37,0.61,0.0,0.95,1.45,0.0,0.0,0.27,0.0,0.0
61,1.0,0.98,0.17,0.08,0.0,0.0,0.29,0.0,0.0,0.3,0.6,0.0,0.9,1.38,0.0,0.0,0.3,0.0,0.0
62,1.017,0.98,0.08,0.08,0.0,0.0,0.22,0.0,0.0,0.28,0.6,0.0,0.84,1.35,0.0,0.0,0.32,0.0,0.0
63,1.033,0.98,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.29,0.62,0.0,0.7,1.37,0.0,0.0,0.32,0.0,0.0
64,1.05,0.98,0.06,0.04,0.0,0.0,0.26,0.0,0.0,0.38,0.62,0.0,0.66,1.35,0.0,0.0,0.43,0.0,0.0
65,1.067,0.98,0.06,0.04,0.0,0.0,0.33,0.0,0.01,0.29,0.64,0.0,0.67,1.39,0.0,0.0,0.39,0.0,0.0
66,1.083,0.98,0.06,0.04,0.0,0.0,0.25,0.0,0.01,0.19,0.53,0.0,0.79,1.33,0.0,0.0,0.46,0.0,0.0
67,1.1,0.98,0.02,0.0,0.0,0.0,0.35,0.0,0.01,0.23,0.6,0.0,0.64,1.39,0.0,0.0,0.47,0.0,0.0
68,1.117,0.98,0.1,0.14,0.0,0.0,0.33,0.0,0.0,0.42,0.63,0.0,0.65,1.33,0.0,0.0,0.52,0.0,0.0
69,1.133,0.98,0.1,0.14,0.0,0.0,0.36,0.0,0.0,0.49,0.7,0.0,0.65,1.37,0.0,0.0,0.44,0.0,0.0
70,1.15,0.98,0.07,0.14,0.0,0.0,0.31,0.0,0.0,0.35,0.65,0.0,0.81,1.33,0.0,0.0,0.38,0.0,0.0
71,1.167,0.98,0.01,0.0,0.0,0.0,0.27,0.0,0.0,0.29,0.59,0.0,0.8,1.3,0.0,0.0,0.41,0.0,0.0
72,1.183,0.98,0.12,0.12,0.0,0.0,0.27,0.0,0.0,0.39,0.61,0.0,0.76,1.24,0.0,0.0,0.44,0.0,0.0
73,1.2,0.98,0.14,0.12,0.0,0.0,0.25,0.0,0.0,0.44,0.64,0.0,0.91,1.23,0.0,0.0,0.5,0.0,0.0
74,1.217,0.98,0.15,0.18,0.0,0.0,0.36,0.0,0.0,0.42,0.72,0.0,1.08,1.31,0.0,0.0,0.43,0.0,0.0
75,1.233,0.98,0.04,0.06,0.0,0.0,0.31,0.0,0.0,0.33,0.65,0.0,1.19,1.32,0.0,0.0,0.4,0.0,0.0
76,1.25,0.98,0.02,0.06,0.0,0.0,0.34,0.0,0.0,0.39,0.67,0.0,0.96,1.28,0.0,0.0,0.36,0.0,0.0
77,1.267,0.98,0.04,0.11,0.0,0.0,0.25,0.0,0.0,0.41,0.66,0.0,0.82,1.26,0.0,0.0,0.39,0.0,0.0
78,1.283,0.98,0.04,0.11,0.0,0.0,0.36,0.0,0.0,0.42,0.75,0.0,0.76,1.29,0.0,0.0,0.44,0.0,0.0
79,1.3,0.98,0.04,0.11,0.0,0.0,0.31,0.0,0.0,0.36,0.67,0.0,0.83,1.32,0.0,0.0,0.49,0.0,0.0
80,1.317,0.98,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.4,0.72,0.0,0.73,1.3,0.0,0.0,0.42,0.0,0.0
81,1.333,0.98,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.4,0.72,0.0,0.79,1.25,0.0,0.0,0.52,0.0,0.0
82,1.35,0.98,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.42,0.79,0.0,0.88,1.21,0.0,0.0,0.51,0.0,0.0
83,1.367,0.98,0.07,0.0,0.01,0.0,0.34,0.0,0.0,0.35,0.68,0.0,0.96,1.14,0.0,0.0,0.63,0.0,0.0
84,1.383,0.98,0.21,0.03,0.01,0.0,0.31,0.0,0.0,0.37,0.65,0.0,0.9,1.23,0.0,0.0,0.48,0.0,0.0
85,1.4,0.98,0.21,0.03,0.01,0.0,0.29,0.0,0.0,0.33,0.61,0.0,0.85,1.26,0.0,0.0,0.55,0.0,0.0
86,1.417,0.98,0.2,0.03,0.0,0.0,0.33,0.0,0.0,0.34,0.68,0.0,0.92,1.36,0.0,0.0,0.45,0.0,0.0
87,1.433,0.98,0.1,0.0,0.0,0.0,0.32,0.0,0.0,0.34,0.7,0.0,0.91,1.32,0.0,0.0,0.46,0.0,0.0
88,1.45,0.98,0.13,0.0,0.01,0.0,0.33,0.0,0.0,0.41,0.67,0.0,0.84,1.22,0.0,0.0,0.41,0.0,0.0
89,1.467,0.98,0.13,0.07,0.01,0.0,0.35,0.0,0.0,0.45,0.67,0.0,0.78,1.24,0.0,0.0,0.49,0.0,0.0
90,1.483,0.98,0.09,0.07,0.01,0.0,0.3,0.0,0.01,0.47,0.64,0.0,0.69,1.19,0.0,0.0,0.53,0.0,0.0
91,1.5,0.98,0.09,0.15,0.0,0.0,0.32,0.0,0.01,0.44,0.68,0.0,0.76,1.37,0.0,0.0,0.58,0.0,0.0
92,1.517,0.98,0.03,0.08,0.0,0.0,0.25,0.0,0.01,0.48,0.64,0.0,0.76,1.28,0.0,0.0,0.65,0.0,0.0
93,1.533,0.98,0.14,0.08,0.0,0.0,0.29,0.0,0.03,0.51,0.58,0.0,0.75,1.17,0.0,0.0,0.71,0.0,0.0
94,1.55,0.98,0.17,0.0,0.0,0.0,0.29,0.0,0.03,0.58,0.6,0.0,0.71,1.08,0.0,0.0,0.67,0.0,0.0
95,1.567,0.98,0.17,0.0,0.0,0.0,0.29,0.0,0.03,0.52,0.61,0.0,0.76,1.13,0.0,0.0,0.69,0.0,0.0
96,1.583,0.98,0.06,0.0,0.0,0.0,0.27,0.0,0.0,0.53,0.68,0.0,0.93,1.32,0.0,0.0,0.78,0.0,0.0
97,1.6,0.98,0.07,0.0,0.0,0.0,0.2,0.0,0.0,0.48,0.56,0.0,0.83,1.15,0.0,0.0,0.78,0.0,0.0
98,1.617,0.98,0.06,0.0,0.01,0.0,0.26,0.0,0.04,0.56,0.57,0.0,0.74,1.07,0.0,0.0,0.78,0.0,0.0
99,1.633,0.98,0.15,0.0,0.01,0.0,0.48,0.0,0.04,0.63,0.63,0.0,0.52,1.01,0.0,0.0,0.62,0.0,0.0
100,1.65,0.98,0.1,0.08,0.01,0.0,0.6,0.0,0.07,0.64,0.7,0.0,0.64,1.18,0.0,0.0,0.66,0.0,0.0
101,1.667,0.98,0.14,0.19,0.03,0.0,0.76,0.07,0.1,0.68,0.77,0.0,0.7,1.21,0.0,0.0,0.56,0.0,0.2
102,1.683,0.98,0.34,0.42,0.29,0.0,0.75,0.07,0.16,0.69,0.69,0.0,0.83,1.24,0.0,0.0,0.64,0.0,0.81
103,1.7,0.98,0.57,0.54,0.54,0.0,0.86,0.07,0.23,0.74,0.7,0.0,0.87,1.3,0.0,0.0,0.67,0.0,1.5
104,1.717,0.98,0.65,0.46,0.7,0.0,0.84,0.0,0.2,0.69,0.61,0.0,0.86,1.35,0.0,0.0,0.85,0.0,1.72
105,1.733,0.98,0.43,0.29,0.5,0.0,0.75,0.0,0.22,0.57,0.64,0.0,0.87,1.39,0.0,0.0,0.9,0.0,1.47
106,1.75,0.98,0.19,0.12,0.29,0.0,0.7,0.0,0.23,0.56,0.59,0.0,0.83,1.35,0.0,0.0,0.82,0.0,1.11
107,1.767,0.98,0.11,0.07,0.13,0.0,0.63,0.1,0.19,0.55,0.55,0.0,0.81,1.25,0.0,0.0,0.69,0.0,0.74
108,1.783,0.98,0.05,0.03,0.1,0.0,0.57,0.1,0.14,0.62,0.53,0.0,0.73,1.08,0.0,0.0,0.63,0.0,0.38
109,1.8,0.98,0.08,0.0,0.07,0.0,0.59,0.17,0.02,0.63,0.64,0.0,0.73,1.13,0.0,0.0,0.67,0.0,0.05
110,1.817,0.98,0.2,0.16,0.08,0.0,0.58,0.06,0.06,0.63,0.73,0.0,0.76,1.17,0.0,0.0,0.72,0.0,0.0
