AU,F_value,p_value
AU10_r,85881.70916152565,0.0
AU06_r,80785.93941878784,0.0
AU12_r,56758.18035892922,0.0
AU04_r,30142.3356247986,0.0
AU07_r,15711.383262818134,0.0
AU25_r,11190.89805655977,0.0
AU17_r,7277.561845046145,0.0
AU23_r,4325.300494936251,0.0
AU26_r,4265.84171004967,0.0
AU15_r,2480.385022811046,0.0
AU14_r,1797.9781227374647,0.0
AU20_r,1416.0247958815598,0.0
AU01_r,708.6185883902306,3.3663164998261506e-304
AU02_r,103.59279363886252,1.2678766033197292e-45
AU05_r,94.50852158595157,1.0783841385961928e-41
AU45_r,18.721804335834086,7.451836910893714e-09
AU09_r,11.43958515166803,1.0789129165158476e-05
