frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.58,0.01,0.0,0.07,0.0,0.0,0.0,0.99
2,0.017,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.22,0.0,0.0,0.02,0.0,0.02,0.02,0.92
3,0.033,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.91
4,0.05,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.02,0.88
5,0.067,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.83
6,0.083,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.01,0.83
7,0.1,0.98,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.01,0.88
8,0.117,0.98,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.01,1.04
9,0.133,0.98,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.09,0.0,1.17
10,0.15,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.14,0.0,1.09
11,0.167,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.16,0.0,1.06
12,0.183,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.14,0.0,1.0
13,0.2,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.0,0.0,0.0,0.1,0.0,1.24
14,0.217,0.98,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.16,0.0,0.06,0.0,0.09,0.0,1.24
15,0.233,0.98,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.1,0.0,0.06,0.0,1.27
16,0.25,0.98,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.16,0.0,0.05,0.0,1.16
17,0.267,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.0,0.15,0.0,0.0,0.0,1.08
18,0.283,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.0,0.11,0.0,0.03,0.0,0.92
19,0.3,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.19,0.0,0.05,0.0,0.06,0.0,0.79
20,0.317,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.06,0.0,0.78
21,0.333,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.08,0.01,0.85
22,0.35,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.06,0.03,0.85
23,0.367,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.09,0.07,0.83
24,0.383,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.13,0.0,0.02,0.0,0.05,0.07,0.87
