AU,F_value,p_value
AU04_r,115984.0075070269,0.0
AU12_r,55243.31893834808,0.0
AU06_r,52584.58452672582,0.0
AU10_r,20707.562937819166,0.0
AU14_r,3758.6324044178255,0.0
AU17_r,2702.892238745095,0.0
AU07_r,2270.617706356895,0.0
AU25_r,2196.130272156247,0.0
AU26_r,974.8922461265701,0.0
AU23_r,888.2189020698223,0.0
AU15_r,704.2771719104221,2.0979210990235487e-295
AU20_r,486.8952748252491,9.354539770816144e-207
AU01_r,234.43336024576757,2.9348771576242357e-101
AU09_r,87.6137914846911,1.3507792438712949e-38
AU02_r,81.25398582168577,7.368733826759747e-36
AU05_r,38.425747394782384,2.222315520777347e-17
AU45_r,7.4756057263522,0.0005684724296568313
