frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,0.27,0.0,0.0,0.26,0.0,0.0,0.14,0.15,0.0,0.12,0.0,0.09,0.21,0.0,0.0
2,0.033,0.98,0.06,0.0,0.32,0.0,0.0,0.26,0.02,0.0,0.11,0.05,0.0,0.04,0.0,0.05,0.11,0.02,0.19
3,0.067,0.98,0.14,0.0,0.38,0.0,0.0,0.18,0.02,0.0,0.1,0.0,0.0,0.01,0.0,0.02,0.06,0.09,0.34
4,0.1,0.98,0.2,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.03,0.0,0.0,0.03,0.16,0.39
5,0.133,0.98,0.19,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.03,0.23,0.49
6,0.167,0.98,0.14,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.01,0.22,0.4
7,0.2,0.98,0.09,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.01,0.21,0.38
8,0.233,0.98,0.07,0.0,0.24,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.0,0.01,0.18,0.26
9,0.267,0.98,0.04,0.0,0.23,0.0,0.0,0.02,0.01,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.01,0.14,0.23
10,0.3,0.98,0.09,0.0,0.26,0.0,0.0,0.17,0.01,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.01,0.08,0.14
11,0.333,0.98,0.07,0.0,0.27,0.0,0.0,0.29,0.02,0.0,0.1,0.04,0.0,0.0,0.0,0.02,0.0,0.04,0.05
12,0.367,0.98,0.1,0.0,0.28,0.0,0.0,0.33,0.01,0.0,0.09,0.08,0.0,0.0,0.0,0.05,0.05,0.01,0.02
13,0.4,0.98,0.08,0.0,0.36,0.0,0.0,0.33,0.02,0.0,0.06,0.08,0.0,0.0,0.0,0.07,0.07,0.01,0.07
14,0.433,0.98,0.06,0.0,0.43,0.0,0.0,0.31,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.08,0.1,0.06,0.08
15,0.467,0.98,0.04,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.1,0.06,0.07,0.11
16,0.5,0.98,0.07,0.0,0.42,0.0,0.0,0.27,0.0,0.0,0.13,0.0,0.0,0.07,0.0,0.13,0.09,0.07,0.04
17,0.533,0.98,0.06,0.0,0.35,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.09,0.0,0.14,0.14,0.01,0.05
18,0.567,0.98,0.08,0.0,0.31,0.0,0.0,0.11,0.0,0.0,0.14,0.0,0.0,0.06,0.01,0.09,0.17,0.0,0.1
19,0.6,0.98,0.01,0.0,0.26,0.0,0.0,0.09,0.0,0.0,0.15,0.0,0.0,0.02,0.01,0.04,0.12,0.0,0.26
20,0.633,0.98,0.03,0.0,0.29,0.0,0.0,0.09,0.03,0.0,0.16,0.0,0.0,0.03,0.01,0.03,0.08,0.0,0.29
21,0.667,0.98,0.08,0.0,0.34,0.0,0.0,0.07,0.03,0.0,0.18,0.0,0.0,0.1,0.0,0.03,0.08,0.0,0.21
22,0.7,0.98,0.1,0.0,0.37,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.0,0.16,0.0,0.02,0.09,0.0,0.05
23,0.733,0.98,0.08,0.0,0.36,0.0,0.0,0.0,0.01,0.0,0.13,0.0,0.0,0.19,0.0,0.01,0.08,0.03,0.04
24,0.767,0.98,0.01,0.0,0.37,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.21,0.0,0.0,0.07,0.09,0.13
25,0.8,0.98,0.0,0.0,0.37,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.31,0.0,0.0,0.08,0.12,0.13
26,0.833,0.98,0.0,0.0,0.39,0.0,0.0,0.06,0.01,0.0,0.04,0.0,0.05,0.4,0.0,0.01,0.04,0.09,0.11
27,0.867,0.98,0.0,0.0,0.36,0.0,0.0,0.06,0.01,0.0,0.05,0.0,0.08,0.43,0.03,0.02,0.02,0.03,0.03
28,0.9,0.98,0.0,0.0,0.34,0.0,0.0,0.0,0.01,0.0,0.06,0.0,0.08,0.36,0.03,0.04,0.0,0.0,0.03
29,0.933,0.98,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.27,0.03,0.03,0.0,0.0,0.0
30,0.967,0.98,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.04,0.17,0.0,0.03,0.0,0.02,0.12
31,1.0,0.98,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.12,0.0,0.01,0.0,0.07,0.16
32,1.033,0.98,0.0,0.0,0.28,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.01,0.0,0.14,0.22
