frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.06,0.73,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.56,0.0,0.12,0.18,0.29,0.38
2,0.033,0.98,0.0,0.02,0.72,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.5,0.02,0.11,0.22,0.34,0.25
3,0.067,0.98,0.0,0.0,0.67,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.45,0.02,0.11,0.25,0.39,0.12
4,0.1,0.98,0.0,0.0,0.64,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.48,0.0,0.15,0.18,0.42,0.06
5,0.133,0.98,0.0,0.0,0.58,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.45,0.0,0.19,0.1,0.39,0.01
6,0.167,0.98,0.0,0.0,0.57,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.47,0.0,0.24,0.01,0.34,0.01
7,0.2,0.98,0.0,0.0,0.56,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.47,0.0,0.26,0.0,0.35,0.0
8,0.233,0.98,0.0,0.0,0.56,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.45,0.0,0.24,0.04,0.38,0.0
9,0.267,0.98,0.0,0.0,0.56,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.4,0.0,0.25,0.04,0.38,0.0
10,0.3,0.98,0.0,0.0,0.54,0.0,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.36,0.0,0.22,0.04,0.37,0.0
11,0.333,0.98,0.0,0.0,0.51,0.0,0.0,0.0,0.09,0.0,0.01,0.0,0.0,0.37,0.0,0.21,0.02,0.41,0.0
12,0.367,0.98,0.0,0.0,0.5,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.06,0.44,0.0
13,0.4,0.98,0.0,0.0,0.53,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.41,0.0,0.22,0.08,0.49,0.0
14,0.433,0.98,0.0,0.0,0.56,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.44,0.0,0.21,0.06,0.49,0.0
15,0.467,0.98,0.0,0.02,0.63,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.41,0.0,0.17,0.08,0.56,0.0
16,0.5,0.98,0.0,0.06,0.55,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.44,0.0,0.17,0.1,0.57,0.0
17,0.533,0.98,0.0,0.15,0.54,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.45,0.0,0.16,0.14,0.58,0.0
18,0.567,0.98,0.0,0.14,0.51,0.27,0.0,0.0,0.0,0.0,0.01,0.0,0.14,0.54,0.0,0.18,0.08,0.47,0.0
19,0.6,0.98,0.0,0.1,0.61,0.25,0.0,0.0,0.0,0.0,0.01,0.0,0.09,0.51,0.0,0.17,0.06,0.37,0.0
20,0.633,0.98,0.0,0.03,0.66,0.18,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.48,0.0,0.17,0.03,0.25,0.0
