frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.1,0.29,0.78,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.21,0.05,0.0
2,0.033,0.98,0.03,0.22,0.73,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.17,0.06,0.0
3,0.067,0.98,0.05,0.13,0.73,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.18,0.08,0.0
4,0.1,0.98,0.13,0.16,0.77,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.17,0.1,0.02
5,0.133,0.98,0.19,0.28,0.74,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.16,0.19,0.04
6,0.167,0.98,0.16,0.36,0.73,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.15,0.23,0.04
7,0.2,0.98,0.19,0.42,0.73,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.2,0.25,0.02
8,0.233,0.98,0.24,0.49,0.79,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.23,0.19,0.0
9,0.267,0.98,0.36,0.66,0.78,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.27,0.11,0.0
10,0.3,0.98,0.43,0.79,0.76,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.24,0.06,0.0
11,0.333,0.98,0.47,0.69,0.78,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.2,0.04,0.0
12,0.367,0.98,0.51,0.66,0.82,0.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.15,0.07,0.13
13,0.4,0.98,0.48,0.55,0.9,0.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.12,0.05,0.22
14,0.433,0.98,0.45,0.58,0.93,0.04,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.06,0.04,0.33
15,0.467,0.98,0.34,0.54,0.88,0.02,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.02,0.31
16,0.5,0.98,0.31,0.49,0.83,0.04,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.02,0.02,0.32
17,0.533,0.98,0.23,0.38,0.83,0.03,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.12,0.0,0.29
18,0.567,0.98,0.25,0.32,0.9,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.12,0.0,0.22
19,0.6,0.98,0.27,0.27,0.89,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.13
20,0.633,0.98,0.3,0.25,0.92,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.1
21,0.667,0.98,0.28,0.22,0.95,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.01,0.1
22,0.7,0.98,0.25,0.24,1.06,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.01,0.14
23,0.733,0.98,0.24,0.23,1.02,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.1
24,0.767,0.98,0.27,0.19,0.95,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.16
25,0.8,0.98,0.27,0.14,0.9,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.16
26,0.833,0.98,0.27,0.22,0.96,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.19
27,0.867,0.98,0.29,0.27,1.02,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.14
28,0.9,0.98,0.26,0.37,0.99,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.02,0.13
29,0.933,0.98,0.27,0.41,0.93,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.13,0.06,0.09
