AU,F_value,p_value,note
AU04_r,1129.5596763997296,0.0,中性数据不完整，结果仅供参考
AU12_r,456.38316033781126,1.0034876016909375e-192,中性数据不完整，结果仅供参考
AU07_r,251.7968569653601,3.723061808575713e-108,中性数据不完整，结果仅供参考
AU17_r,195.49525818989494,1.8360935425902698e-84,中性数据不完整，结果仅供参考
AU01_r,84.31964228783622,3.978403940561629e-37,中性数据不完整，结果仅供参考
AU23_r,74.65615732666726,5.614180421902526e-33,中性数据不完整，结果仅供参考
AU26_r,47.96884103416568,1.732224600816316e-21,中性数据不完整，结果仅供参考
AU14_r,47.10854450767362,4.0709954714576366e-21,中性数据不完整，结果仅供参考
AU09_r,34.060552007644645,1.7524225779246656e-15,中性数据不完整，结果仅供参考
AU45_r,16.644673223051072,6.024337456730881e-08,中性数据不完整，结果仅供参考
AU06_r,10.164039085359615,3.881703799428484e-05,中性数据不完整，结果仅供参考
AU25_r,8.291409685383819,0.00025189644255180763,中性数据不完整，结果仅供参考
AU20_r,7.623645453844064,0.0004907929855636322,中性数据不完整，结果仅供参考
AU05_r,6.713381108922525,0.0012184727942745033,中性数据不完整，结果仅供参考
AU15_r,6.525835164693853,0.001469565301633702,中性数据不完整，结果仅供参考
AU02_r,1.2640850309472496,0.28252996502260636,中性数据不完整，结果仅供参考
AU10_r,,,中性数据不完整，结果仅供参考
