AU,F_value,p_value
AU12_r,19492.441976222657,0.0
AU06_r,14399.155028953495,0.0
AU04_r,6448.967046157016,0.0
AU07_r,2895.546367550417,0.0
AU25_r,1108.3159486292618,0.0
AU17_r,1074.003628806318,0.0
AU10_r,886.5715139053367,0.0
AU23_r,870.3736875469385,0.0
AU14_r,569.7236502479151,9.797010559123607e-244
AU26_r,550.3363768457385,1.3139385233873717e-235
AU15_r,345.2829997123778,4.829158390512172e-149
AU20_r,279.38714407523537,5.487545794339161e-121
AU01_r,95.83617009046567,3.209500751904273e-42
AU09_r,94.98700203087155,7.464153414355406e-42
AU45_r,47.877019865522065,1.7345001438318283e-21
AU02_r,38.96654319658613,1.253673028038137e-17
AU05_r,18.297598312284784,1.143192165338277e-08
