frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,1.44,0.0,0.1,0.0,0.29,0.0,0.26,0.0,0.38,0.0,0.05,0.03,0.39,0.0,0.31,0.45,0.21
2,0.017,0.98,1.77,0.08,0.18,0.0,0.27,0.0,0.11,0.0,0.34,0.0,0.04,0.07,0.23,0.0,0.15,0.36,0.08
3,0.033,0.98,1.9,0.16,0.21,0.0,0.19,0.0,0.03,0.0,0.31,0.0,0.12,0.06,0.1,0.0,0.08,0.3,0.01
4,0.05,0.98,1.82,0.23,0.21,0.0,0.13,0.0,0.0,0.0,0.3,0.0,0.24,0.11,0.03,0.0,0.03,0.28,0.03
5,0.067,0.98,1.7,0.15,0.12,0.0,0.08,0.0,0.0,0.0,0.29,0.0,0.35,0.15,0.03,0.0,0.04,0.23,0.03
6,0.083,0.98,1.66,0.1,0.06,0.0,0.08,0.0,0.0,0.0,0.31,0.0,0.33,0.24,0.03,0.0,0.01,0.27,0.03
7,0.1,0.98,1.62,0.11,0.07,0.0,0.1,0.0,0.0,0.0,0.34,0.0,0.3,0.25,0.11,0.0,0.01,0.24,0.0
8,0.117,0.98,1.6,0.2,0.08,0.0,0.08,0.0,0.0,0.0,0.36,0.1,0.22,0.29,0.08,0.0,0.08,0.25,0.0
9,0.133,0.98,1.56,0.21,0.11,0.0,0.1,0.0,0.0,0.0,0.38,0.15,0.19,0.3,0.08,0.0,0.12,0.23,0.0
10,0.15,0.98,1.55,0.23,0.16,0.0,0.12,0.0,0.0,0.0,0.39,0.2,0.12,0.29,0.05,0.0,0.17,0.3,0.0
11,0.167,0.98,1.46,0.14,0.14,0.0,0.12,0.0,0.0,0.0,0.39,0.17,0.13,0.3,0.09,0.0,0.17,0.32,0.0
12,0.183,0.98,1.36,0.18,0.18,0.0,0.13,0.0,0.0,0.0,0.37,0.18,0.14,0.39,0.1,0.0,0.22,0.39,0.0
13,0.2,0.98,1.25,0.08,0.14,0.0,0.11,0.0,0.0,0.0,0.34,0.2,0.15,0.43,0.06,0.0,0.26,0.4,0.0
14,0.217,0.98,1.27,0.08,0.13,0.0,0.11,0.0,0.0,0.0,0.32,0.17,0.15,0.45,0.02,0.0,0.32,0.44,0.0
15,0.233,0.98,1.27,0.05,0.08,0.0,0.09,0.0,0.0,0.0,0.3,0.15,0.17,0.41,0.05,0.0,0.3,0.33,0.0
16,0.25,0.98,1.32,0.17,0.07,0.0,0.1,0.0,0.0,0.0,0.29,0.14,0.14,0.42,0.08,0.0,0.26,0.28,0.0
17,0.267,0.98,1.35,0.3,0.14,0.0,0.11,0.0,0.0,0.0,0.29,0.17,0.16,0.42,0.12,0.0,0.17,0.2,0.0
18,0.283,0.98,1.38,0.35,0.18,0.0,0.11,0.0,0.0,0.0,0.3,0.16,0.16,0.41,0.08,0.0,0.1,0.28,0.0
19,0.3,0.98,1.37,0.29,0.17,0.0,0.11,0.0,0.0,0.0,0.33,0.18,0.15,0.43,0.05,0.0,0.08,0.39,0.0
20,0.317,0.98,1.43,0.25,0.11,0.0,0.08,0.0,0.0,0.0,0.31,0.16,0.15,0.41,0.01,0.0,0.08,0.5,0.0
21,0.333,0.98,1.49,0.33,0.09,0.02,0.07,0.0,0.0,0.0,0.29,0.18,0.14,0.41,0.06,0.0,0.08,0.48,0.0
22,0.35,0.98,1.56,0.52,0.1,0.04,0.02,0.0,0.0,0.0,0.26,0.13,0.2,0.43,0.05,0.0,0.04,0.36,0.0
23,0.367,0.98,1.54,0.55,0.09,0.05,0.01,0.0,0.0,0.0,0.29,0.14,0.15,0.47,0.1,0.0,0.0,0.24,0.0
24,0.383,0.98,1.55,0.52,0.05,0.03,0.0,0.0,0.0,0.0,0.31,0.09,0.15,0.42,0.1,0.0,0.06,0.17,0.0
25,0.4,0.98,1.54,0.37,0.01,0.02,0.0,0.0,0.0,0.0,0.33,0.11,0.16,0.33,0.15,0.0,0.15,0.14,0.0
26,0.417,0.98,1.55,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.1,0.22,0.31,0.17,0.0,0.18,0.22,0.0
27,0.433,0.98,1.53,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.35,0.15,0.3,0.33,0.14,0.0,0.18,0.29,0.0
28,0.45,0.98,1.46,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.37,0.21,0.31,0.28,0.12,0.0,0.16,0.41,0.0
29,0.467,0.98,1.41,0.23,0.01,0.01,0.0,0.0,0.0,0.0,0.38,0.21,0.34,0.23,0.1,0.0,0.2,0.53,0.0
30,0.483,0.98,1.4,0.35,0.0,0.15,0.0,0.0,0.0,0.0,0.39,0.19,0.33,0.13,0.15,0.0,0.22,0.57,0.05
31,0.5,0.98,1.46,0.39,0.0,0.22,0.0,0.0,0.0,0.0,0.4,0.14,0.31,0.08,0.26,0.0,0.2,0.55,0.14
32,0.517,0.98,1.61,0.51,0.0,0.28,0.0,0.0,0.0,0.0,0.38,0.16,0.31,0.04,0.3,0.0,0.14,0.48,0.23
33,0.533,0.98,1.65,0.42,0.0,0.29,0.0,0.0,0.0,0.0,0.37,0.12,0.35,0.16,0.25,0.0,0.15,0.41,0.32
34,0.55,0.98,1.75,0.44,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.12,0.44,0.26,0.17,0.0,0.24,0.39,0.22
35,0.567,0.98,1.78,0.43,0.0,0.24,0.0,0.0,0.0,0.0,0.27,0.14,0.47,0.34,0.13,0.0,0.37,0.43,0.22
36,0.583,0.98,1.88,0.6,0.01,0.2,0.0,0.0,0.0,0.0,0.29,0.15,0.43,0.36,0.16,0.0,0.48,0.6,0.08
37,0.6,0.98,1.96,0.66,0.01,0.27,0.0,0.0,0.0,0.0,0.32,0.16,0.36,0.31,0.18,0.0,0.55,0.73,0.08
38,0.617,0.98,2.03,0.77,0.05,0.41,0.0,0.0,0.0,0.0,0.36,0.08,0.34,0.25,0.16,0.0,0.51,0.81,0.05
39,0.633,0.98,2.11,0.82,0.05,0.33,0.0,0.0,0.0,0.0,0.33,0.1,0.36,0.21,0.13,0.0,0.44,0.79,0.05
40,0.65,0.98,2.16,0.87,0.06,0.34,0.0,0.0,0.0,0.0,0.32,0.06,0.38,0.21,0.05,0.0,0.34,0.79,0.05
41,0.667,0.98,2.21,0.93,0.05,0.3,0.0,0.0,0.0,0.0,0.32,0.08,0.38,0.19,0.01,0.0,0.31,0.77,0.0
42,0.683,0.98,2.23,0.9,0.05,0.49,0.0,0.0,0.0,0.0,0.34,0.04,0.38,0.25,0.01,0.0,0.36,0.73,0.0
43,0.7,0.98,2.26,0.93,0.05,0.53,0.0,0.0,0.0,0.0,0.35,0.01,0.41,0.34,0.01,0.0,0.42,0.68,0.0
44,0.717,0.98,2.29,0.96,0.03,0.62,0.0,0.0,0.0,0.0,0.34,0.0,0.46,0.43,0.0,0.0,0.44,0.64,0.0
45,0.733,0.98,2.29,0.98,0.01,0.53,0.0,0.0,0.0,0.0,0.35,0.0,0.46,0.42,0.0,0.0,0.42,0.63,0.0
46,0.75,0.98,2.29,1.01,0.01,0.46,0.0,0.0,0.0,0.0,0.35,0.0,0.43,0.45,0.0,0.0,0.33,0.64,0.0
47,0.767,0.98,2.27,0.96,0.0,0.39,0.0,0.0,0.0,0.0,0.33,0.0,0.43,0.52,0.0,0.0,0.34,0.68,0.0
48,0.783,0.98,2.3,1.01,0.0,0.27,0.0,0.0,0.0,0.0,0.32,0.03,0.49,0.58,0.0,0.0,0.26,0.68,0.0
49,0.8,0.98,2.39,1.14,0.0,0.12,0.0,0.0,0.0,0.0,0.32,0.04,0.59,0.53,0.0,0.0,0.3,0.63,0.0
