frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,0.73,0.0,1.5,0.9,0.6,0.48,0.23,0.0,0.55,0.07,0.37,0.0,0.57,0.55,0.0
2,0.017,0.98,0.06,0.0,0.62,0.0,1.39,0.94,0.21,0.29,0.18,0.0,0.55,0.14,0.39,0.0,0.64,0.38,0.01
3,0.033,0.98,0.12,0.0,0.58,0.0,1.37,0.95,0.06,0.19,0.13,0.0,0.61,0.28,0.4,0.0,0.66,0.33,0.13
4,0.05,0.98,0.12,0.0,0.63,0.0,1.41,0.9,0.05,0.14,0.05,0.0,0.55,0.38,0.28,0.0,0.63,0.46,0.13
5,0.067,0.98,0.22,0.0,0.73,0.0,1.46,0.97,0.05,0.16,0.04,0.0,0.53,0.37,0.3,0.0,0.61,0.48,0.2
6,0.083,0.98,0.17,0.0,0.7,0.0,1.42,0.95,0.0,0.13,0.03,0.0,0.49,0.28,0.27,0.0,0.56,0.48,0.24
7,0.1,0.98,0.2,0.0,0.69,0.0,1.38,0.9,0.0,0.15,0.06,0.0,0.43,0.24,0.31,0.0,0.58,0.45,0.37
8,0.117,0.98,0.04,0.0,0.64,0.0,1.32,0.96,0.01,0.14,0.11,0.0,0.36,0.24,0.18,0.0,0.61,0.39,0.37
9,0.133,0.98,0.04,0.0,0.59,0.0,1.3,1.0,0.01,0.13,0.18,0.0,0.28,0.23,0.08,0.0,0.7,0.35,0.22
10,0.15,0.98,0.0,0.0,0.55,0.0,1.31,1.03,0.01,0.09,0.18,0.0,0.44,0.2,0.05,0.0,0.7,0.32,0.09
11,0.167,0.98,0.0,0.0,0.55,0.0,1.36,1.03,0.0,0.04,0.17,0.0,0.44,0.26,0.15,0.0,0.56,0.26,0.0
12,0.183,0.98,0.0,0.0,0.66,0.0,1.38,1.02,0.0,0.05,0.11,0.0,0.39,0.29,0.17,0.0,0.47,0.18,0.0
13,0.2,0.98,0.0,0.02,0.75,0.0,1.41,1.15,0.05,0.1,0.07,0.0,0.19,0.32,0.14,0.03,0.38,0.15,0.0
14,0.217,0.98,0.0,0.02,0.7,0.0,1.4,1.24,0.04,0.16,0.03,0.0,0.07,0.29,0.02,0.06,0.45,0.16,0.0
