frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,1.6,0.0,0.0,1.07,0.07,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.1,0.0,0.08
2,0.033,0.98,0.02,0.0,1.71,0.0,0.0,1.25,0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.22,0.0,0.05
3,0.067,0.98,0.02,0.0,1.81,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.27,0.0,0.03
4,0.1,0.98,0.02,0.0,1.8,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.24,0.0,0.03
5,0.133,0.98,0.0,0.0,1.81,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.02,0.23,0.0,0.01
6,0.167,0.98,0.02,0.0,1.78,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.23,0.0,0.01
7,0.2,0.98,0.02,0.0,1.85,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.02,0.26,0.0,0.02
8,0.233,0.98,0.03,0.0,1.85,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.0,0.02
9,0.267,0.98,0.02,0.0,1.81,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.02,0.32,0.0,0.02
10,0.3,0.98,0.02,0.0,1.74,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.07,0.3,0.0,0.02
11,0.333,0.98,0.0,0.0,1.72,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.13,0.24,0.0,0.02
12,0.367,0.98,0.01,0.07,1.88,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.13,0.21,0.0,0.02
13,0.4,0.98,0.07,0.16,1.96,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.18,0.0,0.0
14,0.433,0.98,0.09,0.16,2.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.23,0.0,0.0
15,0.467,0.98,0.1,0.09,1.96,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.25,0.0,0.0
16,0.5,0.98,0.03,0.0,1.97,0.0,0.0,1.69,0.0,0.0,0.01,0.0,0.0,0.0,0.21,0.15,0.24,0.0,0.0
17,0.533,0.98,0.02,0.0,1.96,0.0,0.0,1.59,0.0,0.0,0.01,0.0,0.0,0.0,0.18,0.13,0.2,0.0,0.0
18,0.567,0.98,0.0,0.05,1.93,0.03,0.0,1.5,0.0,0.0,0.01,0.0,0.0,0.0,0.27,0.1,0.18,0.0,0.0
19,0.6,0.98,0.0,0.05,1.88,0.04,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.11,0.15,0.0,0.02
20,0.633,0.98,0.0,0.05,1.79,0.04,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.0,0.02
21,0.667,0.98,0.0,0.0,1.74,0.01,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.12,0.15,0.0,0.75
22,0.7,0.98,0.0,0.0,1.85,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.08,0.27,0.0,1.76
23,0.733,0.98,0.0,0.0,1.94,0.0,0.0,1.64,0.03,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.38,0.0,2.9
24,0.767,0.98,0.0,0.0,1.96,0.0,0.0,1.46,0.05,0.0,0.0,0.01,0.0,0.0,0.69,0.0,0.35,0.0,3.32
25,0.8,0.98,0.0,0.0,1.88,0.0,0.0,1.31,0.05,0.0,0.0,0.04,0.0,0.0,0.68,0.0,0.3,0.0,3.47
26,0.833,0.98,0.0,0.0,1.92,0.0,0.0,1.23,0.02,0.0,0.0,0.04,0.0,0.0,0.65,0.0,0.26,0.0,3.51
27,0.867,0.98,0.0,0.0,2.11,0.0,0.0,1.37,0.06,0.0,0.0,0.06,0.0,0.0,0.64,0.0,0.29,0.0,3.37
28,0.9,0.98,0.0,0.0,2.32,0.0,0.0,1.61,0.1,0.0,0.0,0.06,0.0,0.0,0.56,0.0,0.3,0.0,2.95
29,0.933,0.98,0.0,0.02,2.34,0.0,0.0,1.76,0.1,0.0,0.0,0.06,0.0,0.0,0.46,0.0,0.35,0.0,2.33
30,0.967,0.98,0.0,0.02,2.27,0.0,0.0,1.9,0.08,0.0,0.0,0.03,0.0,0.0,0.24,0.0,0.44,0.0,1.71
31,1.0,0.98,0.0,0.02,2.19,0.0,0.0,1.83,0.03,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.54,0.0,1.15
32,1.033,0.98,0.01,0.0,2.23,0.0,0.0,1.83,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.57,0.0,0.77
33,1.067,0.98,0.02,0.0,2.17,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.56,0.0,0.45
34,1.1,0.98,0.02,0.0,2.1,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.45,0.0,0.38
35,1.133,0.98,0.04,0.0,2.11,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.43,0.0,0.31
36,1.167,0.98,0.11,0.05,2.18,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.3,0.0,0.38
37,1.2,0.98,0.12,0.12,2.27,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.29,0.0,0.45
38,1.233,0.98,0.13,0.12,2.34,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.21,0.0,0.59
39,1.267,0.98,0.11,0.07,2.34,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.17,0.0,0.7
40,1.3,0.98,0.18,0.03,2.37,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.13,0.0,0.77
41,1.333,0.98,0.14,0.04,2.32,0.0,0.03,1.87,0.05,0.0,0.0,0.02,0.0,0.0,0.62,0.0,0.14,0.0,1.32
42,1.367,0.98,0.08,0.04,2.36,0.0,0.03,1.45,0.07,0.0,0.0,0.05,0.0,0.0,0.67,0.0,0.25,0.0,2.22
43,1.4,0.98,0.0,0.05,2.41,0.0,0.03,1.2,0.17,0.0,0.0,0.05,0.0,0.0,0.61,0.0,0.32,0.0,3.16
44,1.433,0.98,0.0,0.04,2.5,0.0,0.05,1.25,0.29,0.0,0.0,0.04,0.0,0.0,0.55,0.0,0.31,0.0,3.43
45,1.467,0.98,0.0,0.04,2.5,0.0,0.06,1.66,0.36,0.0,0.0,0.02,0.0,0.0,0.49,0.0,0.23,0.0,3.0
46,1.5,0.98,0.0,0.0,2.41,0.0,0.06,2.02,0.25,0.0,0.0,0.02,0.0,0.0,0.52,0.0,0.15,0.0,2.3
47,1.533,0.98,0.0,0.0,2.37,0.0,0.01,1.98,0.08,0.0,0.0,0.01,0.0,0.0,0.52,0.0,0.16,0.0,1.52
48,1.567,0.98,0.0,0.0,2.35,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.25,0.0,0.98
49,1.6,0.98,0.0,0.0,2.31,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.29,0.0,0.61
