AU,F_value,p_value
AU07_r,2927.1285791451596,0.0
AU04_r,1086.7019650424668,0.0
AU25_r,235.7280267372111,1.4104314221697166e-101
AU12_r,235.14443730237784,2.4850531559395023e-101
AU09_r,166.48213565965563,2.901907966646735e-72
AU17_r,133.62784547612696,2.8864464990091463e-58
AU01_r,42.933639665371885,2.544300085193006e-19
AU20_r,23.50097764159447,6.442949828128963e-11
AU15_r,16.777169123160675,5.2678836087554056e-08
AU05_r,11.394019041927526,1.1357195330193861e-05
AU02_r,10.937224695264511,1.7921287703532557e-05
AU14_r,7.612435423640941,0.0004961151092324801
AU26_r,6.558991163353079,0.0014212482805131986
AU45_r,4.9558246664360945,0.007053423047256468
AU23_r,4.845437587756161,0.00787608081150209
AU06_r,0.6120095394869738,0.542273171701961
AU10_r,,
