frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.19,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.31,0.0,0.0,0.0,0.16,0.0,0.3,0.0,1.08
2,0.017,0.98,0.51,0.1,0.0,0.0,0.0,0.0,0.06,0.0,0.26,0.13,0.0,0.04,0.05,0.0,0.35,0.0,0.85
3,0.033,0.98,0.64,0.13,0.0,0.0,0.0,0.0,0.03,0.0,0.25,0.14,0.0,0.06,0.0,0.0,0.42,0.0,0.76
4,0.05,0.98,0.59,0.17,0.02,0.0,0.0,0.0,0.06,0.0,0.27,0.14,0.0,0.09,0.0,0.0,0.41,0.0,0.83
5,0.067,0.98,0.6,0.2,0.06,0.0,0.0,0.07,0.05,0.0,0.33,0.1,0.0,0.12,0.0,0.0,0.41,0.0,0.87
6,0.083,0.98,0.61,0.27,0.08,0.0,0.0,0.07,0.1,0.0,0.31,0.21,0.01,0.12,0.0,0.0,0.37,0.0,0.84
7,0.1,0.98,0.66,0.39,0.09,0.0,0.0,0.07,0.07,0.0,0.29,0.25,0.01,0.09,0.0,0.0,0.37,0.0,0.81
8,0.117,0.98,0.67,0.3,0.12,0.0,0.01,0.0,0.11,0.0,0.3,0.2,0.01,0.06,0.0,0.0,0.36,0.01,0.7
9,0.133,0.98,0.65,0.32,0.11,0.0,0.01,0.05,0.13,0.0,0.36,0.21,0.0,0.12,0.0,0.0,0.28,0.01,0.86
10,0.15,0.98,0.61,0.25,0.13,0.0,0.01,0.05,0.18,0.0,0.37,0.3,0.0,0.12,0.0,0.0,0.24,0.03,0.85
11,0.167,0.98,0.59,0.31,0.1,0.0,0.0,0.05,0.11,0.0,0.35,0.34,0.0,0.08,0.0,0.0,0.22,0.01,0.82
12,0.183,0.98,0.6,0.18,0.14,0.0,0.0,0.0,0.06,0.0,0.37,0.29,0.0,0.03,0.0,0.0,0.25,0.04,0.65
13,0.2,0.98,0.59,0.19,0.14,0.0,0.0,0.02,0.07,0.0,0.41,0.21,0.0,0.07,0.0,0.0,0.21,0.03,0.8
14,0.217,0.98,0.56,0.22,0.13,0.0,0.0,0.02,0.13,0.0,0.39,0.25,0.04,0.08,0.0,0.0,0.28,0.03,0.86
15,0.233,0.98,0.54,0.31,0.09,0.0,0.0,0.02,0.11,0.0,0.36,0.28,0.04,0.05,0.0,0.0,0.24,0.0,0.86
