AU,F_value,p_value
AU06_r,288906.79297236714,0.0
AU04_r,89685.49625417261,0.0
AU07_r,15651.078457804544,0.0
AU10_r,12862.388869424945,0.0
AU12_r,3630.6156958109586,0.0
AU17_r,1243.130471601785,0.0
AU25_r,623.4534485426691,1.5567658564456032e-254
AU14_r,359.08720142783204,7.546753193980199e-151
AU26_r,198.01636880554832,6.527239020992044e-85
AU09_r,157.47708074810225,5.771248495927248e-68
AU45_r,142.19908818294962,1.533369855555429e-61
AU23_r,122.38755945881734,3.527590840738068e-53
AU01_r,104.31873328324419,1.6018750437694093e-45
AU20_r,71.5379350634409,1.4869222379371362e-31
AU15_r,45.50058982102811,2.1733652748490882e-20
AU05_r,36.95954570917913,1.0310377229207198e-16
AU02_r,21.35002673820916,5.615739392368981e-10
