frame,timestamp,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,0.0,0.98,0.0,0.0,0.68,0.0,1.44,0.0,0.25,0.7,0.37,0.0,0.0,0.0,0.57,0.0,0.6,0.07,0.0
2,0.017,0.98,0.21,0.11,0.52,0.0,1.39,0.03,0.18,0.48,0.26,0.0,0.08,0.08,0.42,0.0,0.5,0.02,0.0
3,0.033,0.98,0.21,0.12,0.36,0.0,1.35,0.03,0.09,0.28,0.2,0.0,0.08,0.15,0.38,0.0,0.48,0.04,0.0
4,0.05,0.98,0.21,0.12,0.42,0.0,1.32,0.25,0.09,0.15,0.17,0.0,0.08,0.18,0.34,0.0,0.53,0.04,0.0
5,0.067,0.98,0.0,0.01,0.44,0.0,1.32,0.47,0.17,0.12,0.1,0.0,0.0,0.18,0.33,0.0,0.54,0.04,0.0
6,0.083,0.98,0.0,0.04,0.54,0.0,1.3,0.81,0.2,0.12,0.06,0.0,0.0,0.18,0.26,0.0,0.5,0.0,0.0
7,0.1,0.98,0.0,0.15,0.58,0.01,1.28,0.86,0.18,0.18,0.11,0.0,0.0,0.16,0.29,0.0,0.4,0.09,0.0
8,0.117,0.98,0.0,0.16,0.57,0.04,1.24,0.98,0.11,0.17,0.16,0.0,0.0,0.23,0.17,0.0,0.4,0.12,0.0
9,0.133,0.98,0.0,0.17,0.62,0.04,1.22,1.03,0.12,0.18,0.19,0.0,0.0,0.21,0.1,0.0,0.47,0.16,0.0
10,0.15,0.98,0.0,0.17,0.62,0.1,1.22,1.07,0.1,0.17,0.21,0.0,0.0,0.17,0.11,0.0,0.53,0.09,0.0
11,0.167,0.98,0.0,0.16,0.54,0.12,1.19,1.03,0.11,0.16,0.2,0.0,0.0,0.17,0.1,0.0,0.49,0.06,0.0
12,0.183,0.98,0.0,0.1,0.44,0.16,1.23,0.95,0.07,0.2,0.21,0.0,0.0,0.21,0.21,0.0,0.45,0.03,0.0
13,0.2,0.98,0.0,0.0,0.32,0.12,1.22,0.89,0.04,0.23,0.21,0.0,0.0,0.26,0.15,0.0,0.43,0.0,0.0
14,0.217,0.98,0.02,0.1,0.34,0.07,1.23,0.91,0.01,0.27,0.24,0.0,0.0,0.27,0.23,0.0,0.52,0.0,0.0
15,0.233,0.98,0.02,0.24,0.33,0.12,1.21,0.92,0.01,0.25,0.24,0.0,0.0,0.23,0.21,0.0,0.53,0.0,0.0
16,0.25,0.98,0.02,0.24,0.35,0.11,1.23,0.9,0.0,0.25,0.27,0.0,0.0,0.22,0.2,0.0,0.5,0.05,0.0
17,0.267,0.98,0.0,0.23,0.37,0.13,1.26,0.88,0.0,0.24,0.31,0.0,0.0,0.19,0.15,0.0,0.47,0.05,0.0
