AU,F_value,p_value
AU04_r,507647.38533500757,0.0
AU06_r,323215.237451992,0.0
AU07_r,117649.5822536877,0.0
AU10_r,35731.98816299253,0.0
AU12_r,17273.13346973927,0.0
AU17_r,2297.4864106027853,0.0
AU25_r,1486.5814666307551,0.0
AU23_r,919.3124016885649,0.0
AU14_r,774.54237740418,0.0
AU45_r,716.9926365158983,9.589956945423443e-308
AU15_r,646.4058903211684,6.700468914826603e-278
AU01_r,595.4072823242806,2.750837920037605e-256
AU26_r,502.59552685621435,7.651405221194726e-217
AU09_r,173.1232175511625,1.1798958239153545e-75
AU05_r,128.0088921297689,3.530476836788179e-56
AU20_r,118.59430604041764,4.135556114418515e-52
AU02_r,4.609177225494444,0.009964228400445972
