AU,F_value,p_value
AU06_r,230050.17382668387,0.0
AU04_r,218682.14103704222,0.0
AU07_r,60988.91978044349,0.0
AU12_r,21748.693417123915,0.0
AU10_r,17150.997940438716,0.0
AU14_r,13805.530341205982,0.0
AU17_r,6464.578039524894,0.0
AU25_r,1217.4991052652708,0.0
AU01_r,484.3961684763935,8.125654565918931e-206
AU15_r,470.7054913660692,3.6817800709862973e-200
AU26_r,253.39888331589466,2.6216964032976114e-109
AU45_r,212.40475708648717,6.143538465829595e-92
AU23_r,100.19352533535525,5.230579313463787e-44
AU20_r,92.64381163552008,9.20031470776678e-41
AU05_r,53.28946292940175,8.366431854168347e-24
AU09_r,41.41451473367367,1.131661422365549e-18
AU02_r,1.7966225040952588,0.16588682545576677
