,N_1s,N_2s,N_3s,N_4s,N_5s,N_6s,N_7s,N_8s,N_9s,N_10s,N_11s,N_12s,N_13s,N_14s,N_15s,P1_1s,P1_2s,P1_3s,P1_4s,P1_5s,P1_6s,P1_7s,P1_8s,P1_9s,P1_10s,P1_11s,P1_12s,P1_13s,P1_14s,P1_15s,P2_1s,P2_2s,P2_3s,P2_4s,P2_5s,P2_6s,P2_7s,P2_8s,P2_9s,P2_10s,P2_11s,P2_12s,P2_13s,P2_14s,P2_15s
AU01_U1,0.12,2.0500000000000003,1.25,2.64,1.09,0.81,0.0,0.24,4.44,11.5,12.44,11.120000000000001,27.64,14.92,6.48,11.81,5.66,15.34,5.72,7.35,2.04,1.1,1.87,14.66,2.16,3.01,3.17,3.61,2.54,6.3100000000000005,2.41,1.58,1.48,3.09,2.81,1.82,1.6600000000000001,0.66,0.0,1.42,2.65,0.06,0.0,0.0,0.0
AU02_U1,0.0,0.0,0.21,0.0,0.18,1.9000000000000001,2.98,0.44999999999999996,0.12,0.79,0.12,10.5,22.71,7.65,6.81,4.45,8.08,21.44,16.35,6.4,2.35,8.77,0.21,9.16,4.38,1.99,3.47,2.79,2.02,0.75,2.0100000000000002,6.01,4.33,3.11,0.27,0.4,0.81,2.47,0.31,0.12,0.0,0.0,0.0,0.12,0.9400000000000001
AU04_U1,50.78,61.31,56.94,70.42,62.81,51.89,49.76,73.99,74.18,68.73,73.82,77.35,84.33,86.24,91.12,129.72,112.77,121.01,126.47,118.31,87.79,75.04,122.95,121.94,126.06,115.53999999999999,116.7,125.4,119.08,122.1,123.81,124.41,128.0,132.09,128.21,113.39,119.33,120.85,127.97,117.34,127.1,137.63,140.51,139.68,119.45
AU05_U1,3.26,7.19,14.66,7.34,3.73,17.22,13.93,1.85,0.39,0.0,0.0,0.0,0.09,0.13,1.25,11.99,19.06,14.05,11.3,9.28,43.11,60.15,4.16,1.51,12.82,8.63,14.46,2.5,7.8,1.67,2.38,0.39,1.19,0.0,0.0,0.0,0.0,0.39,0.0,0.03,0.09,0.0,0.21000000000000002,0.0,0.0
AU06_U1,116.6,122.05,118.34,113.16,104.59,110.78,110.99,117.69,134.25,154.56,156.51,164.04,171.83,168.95,169.99,117.24,110.28999999999999,111.1,113.95,112.61,94.44,89.4,110.79,127.24,129.76,131.46,133.36,121.67999999999999,128.51,137.8,142.25,140.04999999999998,140.55,148.76,158.23,154.69,162.29,141.58,136.75,132.10999999999999,134.84,133.85,138.57,140.74,156.26
AU07_U1,77.68,87.12,101.44,95.57,91.7,46.74,42.3,68.82,49.8,33.48,37.13,60.81,64.11,74.29,72.52,48.57,28.79,40.92,60.79,56.37,39.14,55.99,57.97,74.43,50.67,64.9,88.96,65.96,59.8,71.4,68.8,55.07,88.09,77.17,90.66,86.83,87.35,87.51,100.64,79.28,75.78,90.95,97.33,98.31,100.76
AU09_U1,0.39,1.31,5.7,1.46,1.33,0.48000000000000004,0.05,8.09,2.46,18.84,13.5,0.88,1.19,1.41,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.87,0.18,0.0,0.16,6.01,13.14,1.21,2.39,2.39,3.5300000000000002,4.72,11.02,9.3,10.26
AU10_U1,128.33,124.03999999999999,134.18,126.72,135.91,139.49,137.72,134.28,122.67999999999999,143.83,138.7,130.83,145.18,143.3,147.55,108.17,105.28,109.78,113.07,105.94,132.99,139.82,111.06,112.0,115.02,126.99,131.86,128.77,127.69,126.12,132.28,138.17,138.42,143.42,142.96,143.45,143.93,131.66,137.71,149.28,141.4,148.15,142.53,140.35999999999999,138.36
AU12_U1,103.77,105.29,94.09,90.42999999999999,82.24,85.35,83.06,75.27,85.26,88.77,90.92,98.76,104.05,104.23,104.42,58.51,52.78,52.96,51.99,54.6,53.84,60.02,49.42,51.76,57.26,55.68,56.15,55.62,59.69,53.83,60.53,63.620000000000005,63.97,63.28,69.0,75.43,76.81,75.21,71.92,68.45,67.14,70.09,67.07,69.46000000000001,77.32000000000001
AU14_U1,99.69,86.21,79.69,66.46,65.84,17.41,18.71,53.13,63.46,81.63,84.27,71.44,96.8,87.03,78.14,58.46,47.34,50.5,46.17,41.04,16.36,7.21,41.42,39.09,44.63,41.17,35.67,52.65,55.37,43.03,40.37,50.44,41.19,39.56,40.02,57.43,61.67,57.82,41.94,48.8,59.12,53.74,49.82,51.25,58.01
