,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0.62,0.39,0.06,1.15,86.77,158.37,0.0,32.05,3.1,59.09,0.0,21.66,2.5500000000000003,23.81,39.72,27.41,22.81,0.0,0.0,12.540000000000001,17.28,103.77,198.93,2.06,64.1,20.5,44.25,0.0,2.37,0.15,0.12,33.589999999999996,35.35,11.01,97.06,100.15,0.3,0.5700000000000001,68.29,75.64,0.0,20.8,37.21,64.24,0.0,33.92,7.8,12.1,10.76,10.51,89.56,107.87,50.22,4.78,51.88,25.08,52.48,0.0,39.9,2.56,42.35,5.640000000000001,1.0,1.9100000000000001,0.69,40.38,78.49,38.51
1,0.62,0.0,0.0,0.06,100.01,157.86,0.0,54.3,6.7,58.92,0.0,42.84,0.0,32.63,16.16,25.08,5.24,0.0,0.0,2.75,32.76,89.04,153.84,0.21,53.14,10.8,38.17,0.29000000000000004,4.57,0.0,2.37,31.89,22.06,0.12,0.0,9.51,10.24,9.24,102.87,174.65,0.0,31.490000000000002,42.51,42.9,0.0,55.0,0.28,69.01,6.4799999999999995,87.82,18.28,18.17,15.64,12.68,1.9500000000000002,62.03,120.61,0.09,37.3,3.45,41.61,0.22,9.98,0.06,5.43,25.98,31.19,33.6
2,0.06,0.0,0.39,0.12000000000000001,85.39,153.09,0.15,54.81,5.63,58.29,0.0,31.85,0.16,40.2,15.23,25.35,8.64,9.13,0.0,5.41,0.47000000000000003,105.12,184.04,14.3,75.33,11.52,31.86,6.19,34.21,8.98,0.67,25.99,17.04,28.02,0.35,0.27,2.51,8.33,86.79,191.44,2.08,43.32,14.120000000000001,34.26,5.79,88.74,0.0,36.25,0.0,1.3599999999999999,9.95,2.46,4.65,25.68,0.21,100.5,156.63,1.32,53.36,20.45,59.64,0.61,27.84,1.67,0.18,7.0200000000000005,25.42,18.77
3,0.0,0.0,0.0,0.55,91.73,128.99,0.12000000000000001,56.589999999999996,5.07,57.65,0.0,29.8,0.0,34.1,19.59,31.85,7.15,25.13,0.0,4.22,0.0,101.67,194.77,0.79,66.45,19.89,20.240000000000002,27.8,35.61,6.11,0.0,11.87,16.240000000000002,16.79,0.4,0.0,1.0,16.2,94.91,192.83,13.64,39.86,5.57,5.19,28.68,90.63,0.09,45.09,0.0,0.0,8.02,0.95,0.4,28.59,0.58,100.64,171.81,0.89,61.3,18.19,52.91,1.85,28.51,0.72,0.32,8.41,39.12,9.16
4,0.27,0.0,2.54,2.4,99.25,152.51,1.3800000000000001,61.47,12.69,75.99,0.0,33.45,0.48,25.69,16.08,23.88,13.52,33.73,0.27,9.93,0.12,105.03,195.9,1.98,71.32,20.86,19.72,24.27,23.38,18.14,0.0,9.03,11.52,17.79,10.67,9.57,13.51,31.27,77.49,166.69,3.86,59.8,9.02,45.07,13.73,58.15,0.09,31.17,12.6,23.83,12.76,1.4100000000000001,2.46,19.81,0.18000000000000002,99.89,174.79,3.79,68.58,18.55,45.43,0.47,49.07,0.57,0.0,8.39,20.91,13.01
5,2.59,0.0,5.04,1.23,93.0,146.71,2.48,63.93,15.23,48.83,0.3,40.95,0.0,13.85,3.8200000000000003,13.33,11.45,5.46,0.06,13.17,7.59,90.87,197.23,0.25,47.24,23.82,11.79,39.93,1.97,10.6,3.1100000000000003,26.63,3.11,0.41000000000000003,7.12,27.88,12.59,38.370000000000005,66.6,122.61,0.0,46.79,14.02,105.63,0.0,1.43,0.0,49.05,36.56,80.29,22.86,4.94,4.95,26.5,0.0,98.85,168.69,2.32,70.78,13.81,36.07,3.46,45.71,0.0,0.0,15.41,16.07,19.92
6,2.5,0.0,3.34,0.0,81.08,135.96,4.59,47.9,2.15,35.92,1.03,27.91,0.0,2.94,7.9,19.86,2.94,3.46,0.14,29.32,5.11,92.22,193.73,3.41,36.58,15.84,24.25,26.84,3.7800000000000002,9.69,8.59,21.16,2.12,9.55,1.09,18.88,19.66,0.24000000000000002,84.25,173.33,0.0,23.3,24.05,105.82000000000001,0.0,12.79,4.97,34.12,29.43,29.69,48.68,1.05,12.58,9.09,9.75,52.75,129.03,0.8,21.85,2.29,34.41,15.870000000000001,6.49,1.06,0.15,19.72,6.74,16.99
7,3.04,0.0,19.74,0.5800000000000001,83.12,177.81,11.48,52.48,3.64,24.72,8.88,18.27,10.97,0.47000000000000003,6.01,10.93,3.41,20.240000000000002,3.44,18.98,0.0,97.14,194.10999999999999,0.44,53.02,18.66,21.55,11.19,22.55,14.0,0.0,11.89,10.8,28.8,1.97,0.43,27.96,0.03,70.66,146.85999999999999,0.18,31.71,9.78,50.96,1.52,22.49,26.9,17.31,2.72,19.7,11.6,21.52,5.39,13.120000000000001,0.0,75.34,137.39,1.84,44.87,4.86,18.0,13.540000000000001,26.25,0.62,0.0,11.62,12.77,13.98
8,19.31,0.06,18.88,0.81,88.28,174.34,10.97,55.33,11.02,15.58,23.98,12.65,15.709999999999999,0.0,3.99,10.83,9.540000000000001,33.660000000000004,0.4,17.35,0.0,96.96,191.33,0.23,57.22,20.05,25.7,31.99,18.57,26.05,0.0,5.34,6.41,28.81,3.5300000000000002,11.89,31.98,1.58,68.99,162.61,0.48,34.39,9.66,44.6,15.120000000000001,11.62,22.53,2.35,4.09,8.14,10.78,9.02,2.11,17.17,0.6900000000000001,90.81,157.24,6.24,67.92,8.290000000000001,34.12,7.82,52.6,0.06,0.06,9.69,25.35,0.64
9,17.45,4.48,17.78,0.62,94.53,172.44,7.45,67.19,10.67,18.27,21.66,26.36,4.21,0.0,8.42,11.66,14.96,5.96,0.36,35.42,2.23,91.78,223.19,6.66,57.33,15.45,40.28,16.59,9.0,18.240000000000002,17.45,3.18,7.78,7.47,1.2,1.84,25.03,3.52,67.06,153.09,0.09,32.45,1.82,49.32,5.9,12.58,13.53,0.48,0.4,11.040000000000001,18.57,13.26,34.74,14.620000000000001,0.09,65.5,147.1,0.47000000000000003,27.42,5.62,28.32,6.54,11.09,22.03,0.0,20.7,3.07,45.55
10,13.02,0.33,8.17,0.12000000000000001,98.92,157.9,16.16,75.47,9.4,24.38,18.78,28.4,0.61,0.0,15.35,13.87,7.4,0.03,0.06,30.330000000000002,2.82,88.38,221.53,3.24,65.58,0.62,46.0,0.0,25.8,3.64,36.02,23.490000000000002,27.46,15.27,4.12,1.07,23.02,0.15000000000000002,70.52,158.31,0.71,35.29,2.65,45.06,14.99,7.5,44.86,1.74,2.61,13.14,11.030000000000001,8.1,9.3,20.62,1.46,76.21000000000001,174.71,0.02,49.12,13.94,21.68,7.73,29.53,3.9,0.0,12.98,15.13,0.49
11,6.19,0.0,6.54,0.0,95.89,151.73,16.36,78.05,8.44,26.29,8.64,31.85,0.04,0.0,20.03,16.05,17.06,2.96,6.57,7.07,8.25,87.2,167.76,2.43,36.3,27.919999999999998,40.95,8.74,0.95,1.83,8.870000000000001,23.89,9.87,6.58,0.38,0.0,7.9,2.82,76.29,151.39,0.78,47.660000000000004,4.6,36.8,6.99,21.41,8.63,0.8200000000000001,3.76,23.02,3.05,14.31,38.52,15.5,3.8000000000000003,83.66,154.87,0.18,54.84,10.88,22.67,11.73,34.63,4.26,0.0,22.33,7.7700000000000005,23.19
12,30.41,6.84,11.26,0.06,96.28,196.92,1.17,68.38,17.2,16.84,22.27,25.78,9.59,0.0,10.48,7.27,15.950000000000001,32.82,21.02,26.12,1.66,78.49,152.09,6.83,40.07,16.52,22.97,2.78,2.15,10.51,2.02,33.89,18.85,31.57,1.11,0.0,22.8,2.02,72.76,161.59,6.54,44.44,3.59,38.84,6.96,18.97,4.98,2.02,6.8500000000000005,23.330000000000002,15.299999999999999,17.84,20.91,12.780000000000001,0.56,85.49,178.14,0.0,55.27,11.71,27.42,12.78,39.86,12.42,0.0,7.26,2.28,5.21
