frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.15, 0.00, 1.31, 0.00, 1.48, 2.18, 0.23, 2.15, 1.47, 0.98, 0.04, 0.00, 0.01, 0.00, 2.03, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
2,  0,  0.033,  0.98,  1, 0.10, 0.00, 1.41, 0.05, 1.78, 2.87, 0.24, 2.30, 1.45, 1.31, 0.11, 0.00, 0.08, 0.00, 1.90, 0.00, 0.68, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
3,  0,  0.067,  0.98,  1, 0.05, 0.00, 1.49, 0.11, 1.92, 3.18, 0.23, 2.38, 1.43, 1.41, 0.11, 0.00, 0.08, 0.00, 1.82, 0.00, 0.36, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.01, 0.00, 1.66, 0.24, 1.92, 3.42, 0.26, 2.38, 1.40, 1.37, 0.13, 0.00, 0.00, 0.00, 1.65, 0.00, 0.20, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.00, 0.00, 1.75, 0.20, 1.94, 3.44, 0.36, 2.34, 1.37, 1.33, 0.20, 0.00, 0.01, 0.00, 1.58, 0.00, 0.18, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
6,  0,  0.167,  0.98,  1, 0.00, 0.00, 1.79, 0.14, 2.03, 3.57, 0.47, 2.23, 1.34, 1.33, 0.18, 0.00, 0.06, 0.00, 1.50, 0.00, 0.26, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
7,  0,  0.200,  0.98,  1, 0.00, 0.00, 1.69, 0.01, 2.01, 3.36, 0.50, 2.13, 1.31, 1.30, 0.09, 0.00, 0.14, 0.00, 1.54, 0.00, 0.41, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
8,  0,  0.233,  0.98,  1, 0.00, 0.00, 1.68, 0.01, 2.01, 3.42, 0.47, 2.07, 1.27, 1.31, 0.01, 0.00, 0.13, 0.00, 1.58, 0.00, 0.39, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.00, 0.00, 1.70, 0.03, 1.95, 3.41, 0.44, 2.00, 1.23, 1.30, 0.14, 0.00, 0.08, 0.00, 1.62, 0.00, 0.40, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.00, 0.00, 1.69, 0.05, 2.01, 3.57, 0.41, 2.02, 1.24, 1.30, 0.19, 0.00, 0.05, 0.00, 1.69, 0.00, 0.23, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.88,  1, 0.00, 0.00, 1.74, 0.05, 1.99, 3.55, 0.33, 2.04, 1.27, 1.33, 0.21, 0.00, 0.05, 0.00, 1.78, 0.00, 0.12, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.00, 0.00, 1.77, 0.03, 2.00, 3.51, 0.33, 2.22, 1.30, 1.35, 0.18, 0.00, 0.05, 0.00, 1.92, 0.00, 0.02, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.00, 0.00, 1.72, 0.00, 2.00, 3.40, 0.34, 2.33, 1.31, 1.34, 0.20, 0.00, 0.06, 0.00, 1.93, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
14,  0,  0.433,  0.98,  1, 0.00, 0.00, 1.58, 0.00, 2.01, 3.30, 0.46, 2.37, 1.31, 1.29, 0.30, 0.00, 0.06, 0.00, 1.80, 0.00, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
