frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.48, 0.00, 1.35, 1.77, 0.00, 2.30, 0.18, 0.61, 0.00, 0.00, 0.00, 0.00, 1.87, 0.08, 0.58, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2,  0,  0.040,  0.98,  1, 0.00, 0.00, 0.60, 0.02, 1.45, 1.84, 0.00, 2.51, 0.24, 0.94, 0.00, 0.00, 0.00, 0.00, 1.72, 0.03, 0.34, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
3,  0,  0.080,  0.98,  1, 0.00, 0.00, 0.67, 0.02, 1.47, 1.92, 0.00, 2.54, 0.26, 1.12, 0.00, 0.00, 0.00, 0.00, 1.59, 0.00, 0.26, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4,  0,  0.120,  0.98,  1, 0.00, 0.00, 0.63, 0.02, 1.43, 1.95, 0.00, 2.53, 0.31, 1.24, 0.00, 0.00, 0.00, 0.00, 1.49, 0.00, 0.37, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.160,  0.98,  1, 0.00, 0.00, 0.65, 0.00, 1.40, 1.78, 0.00, 2.54, 0.29, 1.24, 0.00, 0.00, 0.00, 0.00, 1.35, 0.00, 0.54, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.200,  0.98,  1, 0.00, 0.00, 0.64, 0.00, 1.40, 1.70, 0.02, 2.59, 0.31, 1.19, 0.00, 0.00, 0.00, 0.00, 1.24, 0.00, 0.56, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.240,  0.98,  1, 0.00, 0.00, 0.58, 0.00, 1.39, 1.71, 0.03, 2.58, 0.31, 1.13, 0.00, 0.00, 0.00, 0.00, 1.20, 0.00, 0.54, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.280,  0.98,  1, 0.00, 0.00, 0.58, 0.00, 1.42, 1.79, 0.03, 2.63, 0.28, 1.15, 0.00, 0.00, 0.00, 0.00, 1.11, 0.00, 0.44, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.320,  0.98,  1, 0.00, 0.00, 0.61, 0.00, 1.42, 1.79, 0.01, 2.65, 0.23, 0.99, 0.00, 0.00, 0.00, 0.00, 0.96, 0.08, 0.52, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.360,  0.98,  1, 0.00, 0.00, 0.67, 0.02, 1.45, 1.85, 0.00, 2.58, 0.16, 0.83, 0.00, 0.00, 0.00, 0.00, 0.90, 0.08, 0.43, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
