frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.09, 0.66, 0.00, 1.40, 2.20, 0.00, 1.76, 0.07, 1.17, 0.00, 1.04, 0.16, 0.00, 0.30, 0.00, 1.07, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.017,  0.98,  1, 0.00, 0.03, 0.77, 0.00, 1.46, 2.08, 0.00, 2.07, 0.09, 1.14, 0.00, 1.30, 0.27, 0.18, 0.10, 0.06, 0.85, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.033,  0.98,  1, 0.00, 0.00, 0.84, 0.00, 1.50, 2.10, 0.00, 2.23, 0.13, 1.11, 0.00, 1.51, 0.36, 0.26, 0.00, 0.10, 0.72, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.050,  0.98,  1, 0.00, 0.00, 0.87, 0.00, 1.47, 2.10, 0.00, 2.28, 0.17, 1.14, 0.00, 1.65, 0.34, 0.25, 0.00, 0.08, 0.62, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.067,  0.98,  1, 0.03, 0.10, 0.97, 0.00, 1.47, 2.19, 0.00, 2.30, 0.18, 1.11, 0.00, 1.65, 0.32, 0.23, 0.00, 0.04, 0.64, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.083,  0.98,  1, 0.03, 0.23, 1.02, 0.00, 1.42, 2.07, 0.00, 2.30, 0.17, 1.06, 0.00, 1.61, 0.25, 0.19, 0.00, 0.00, 0.62, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.100,  0.98,  1, 0.05, 0.36, 1.00, 0.00, 1.40, 1.90, 0.00, 2.28, 0.20, 1.04, 0.00, 1.60, 0.28, 0.17, 0.00, 0.00, 0.75, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.117,  0.98,  1, 0.02, 0.29, 0.94, 0.00, 1.37, 1.78, 0.00, 2.30, 0.24, 1.01, 0.00, 1.67, 0.30, 0.18, 0.00, 0.00, 0.82, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.133,  0.98,  1, 0.02, 0.17, 0.88, 0.00, 1.39, 1.72, 0.00, 2.36, 0.26, 1.05, 0.00, 1.75, 0.28, 0.27, 0.00, 0.00, 0.93, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.150,  0.98,  1, 0.00, 0.17, 0.92, 0.00, 1.46, 1.82, 0.00, 2.34, 0.24, 1.07, 0.00, 1.69, 0.22, 0.35, 0.00, 0.00, 0.94, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
